Player,2B,SO
R Pacione,0,6
J Schaus,1,6
S Felix,5,14
S Selsky,2,11
J Baldwin,9,74
H Riggins,13,85
L Odom,0,0
K Thompson,1,6
R Wright,11,27
A Aguilar,8,26
M Walla,16,72
J Paciorek,3,8
Y Roja,6,24
J Patino,4,27
R Jenkins,1,10
M Threlkeld,16,67
M De Leon,4,9
D Thomas,2,18
M Schwartz,2,2
A Muenster,4,9
M Argyropoulos,1,21
F Larson,0,10
F Hall,19,46
Q Millender,4,52
M Antonio,2,6
D Kandilas,17,44
D Poulk,6,30
C Elder,9,26
K Walker,7,17
F Pena,10,50
J Rivera,5,28
B Henry,2,23
K Muller,7,32
J Yakubik,17,30
H Moreno,19,62
J Parks,1,12
D Elliot,1,2
S Cardullo,14,52
B Dean,3,11
S Diaz,3,19
M Kirkland,7,37
R De La Cruz,8,35
L Harper,1,3
R Herrera,6,62
R Court,14,85
C Rodriguez,7,38
K Allison,4,41
A Martinez,5,43
M Earley,17,38
C Mirabal,8,26
