SPG,GP,FGM,APG,FG%,FGA,BPG,DRB
1.0,29,3.3,1.0,0.416,8.0,0.1,2.6
1.4,27,2.4,5.8,0.369,6.6,0.4,3.0
1.2,23,3.3,2.3,0.497,6.7,0.2,2.7
0.3,29,4.7,1.0,0.613,7.7,0.7,3.2
0.3,24,4.8,0.8,0.562,8.5,1.0,3.4
0.6,22,2.1,1.7,0.603,3.5,0.7,3.4
0.5,30,1.7,1.3,0.468,3.6,0.0,1.3
0.9,23,2.7,2.8,0.361,7.3,0.0,1.6
0.6,23,3.6,2.5,0.469,7.6,0.1,1.3
0.6,19,3.0,0.7,0.445,6.7,0.8,2.9
0.7,31,3.8,1.2,0.599,6.4,1.2,3.5
1.0,30,4.2,4.9,0.457,9.3,0.1,2.5
0.4,17,2.4,0.5,0.488,4.8,0.8,2.5
0.8,17,2.8,1.2,0.465,5.9,0.2,3.4
0.7,21,3.4,1.0,0.511,6.7,0.4,2.2
0.4,23,2.9,0.4,0.429,6.7,0.1,3.4
0.2,29,2.0,0.3,0.532,3.8,0.9,1.8
0.5,23,5.3,1.1,0.431,12.3,0.4,3.0
0.7,23,2.6,1.3,0.408,6.4,0.1,2.6
0.4,28,1.4,0.9,0.442,3.1,0.1,2.3
0.7,23,4.7,0.8,0.524,9.0,0.7,3.1
1.0,24,4.1,2.2,0.45,9.1,0.1,1.6
0.7,23,4.2,3.0,0.441,9.6,0.1,1.7
0.4,22,3.1,2.5,0.391,7.9,0.1,2.9
0.4,31,2.1,0.7,0.354,5.8,0.2,2.8
0.2,30,3.6,1.0,0.489,7.3,0.2,2.6
0.4,17,1.5,0.4,0.568,2.6,0.7,1.8
1.0,22,2.4,3.0,0.414,5.8,0.0,1.9
1.9,14,2.1,2.2,0.42,4.9,0.1,1.8
0.8,24,2.8,1.9,0.395,7.0,0.0,1.5
0.6,22,2.6,3.5,0.504,5.2,0.1,1.7
0.3,26,4.3,2.2,0.448,9.7,0.0,1.4
0.3,26,2.8,0.9,0.576,4.8,0.1,1.3
0.7,24,3.0,1.4,0.431,7.0,0.2,3.7
0.3,24,3.2,1.0,0.545,6.0,0.3,2.4
0.3,23,3.2,0.5,0.453,7.0,1.0,3.1
0.4,30,2.8,1.9,0.443,6.4,0.1,1.7
0.6,29,3.5,0.4,0.567,6.1,0.8,3.4
1.8,29,3.8,4.0,0.466,8.1,0.2,3.3
0.7,24,3.1,1.0,0.381,8.1,0.2,1.6
0.7,21,4.0,2.2,0.486,8.3,0.0,1.0
0.6,28,5.4,0.8,0.484,11.1,0.5,4.0
0.4,24,2.2,0.8,0.466,4.8,0.4,3.2
1.0,27,2.7,3.8,0.448,6.0,0.0,2.0
1.1,17,5.2,2.9,0.447,11.6,0.1,2.2
0.2,14,1.5,0.7,0.656,2.3,0.0,1.1
0.6,29,4.3,0.6,0.479,9.1,0.1,2.1
0.9,31,3.0,1.4,0.497,6.0,0.7,3.3
0.9,23,5.1,1.3,0.605,8.5,1.0,3.7
0.7,24,2.8,1.2,0.45,6.3,0.2,2.5
1.1,22,4.9,6.3,0.455,10.7,0.1,3.2
0.7,30,5.0,1.7,0.638,7.8,1.1,4.8
0.5,29,2.7,0.5,0.456,5.8,0.3,3.0
0.6,24,3.5,3.3,0.362,9.7,0.0,2.3
0.5,28,3.6,0.8,0.436,8.4,0.6,3.1
1.7,26,4.0,3.7,0.52,7.7,0.8,6.3
0.5,29,2.3,0.6,0.54,4.3,0.1,3.4
0.9,27,4.7,1.0,0.627,7.6,1.9,4.1
0.6,21,5.3,1.2,0.489,10.8,0.5,1.5
1.0,23,3.1,2.5,0.411,7.6,0.0,2.6
0.6,27,3.5,3.2,0.4,8.7,0.1,1.8
