ORtg,GS,STL%,Tm,G
16,0,0.0,NJN,64
67,0,0.0,NJN,45
91,1,0.0,NJN,29
73,0,0.0,NJN,73
171,1,0.0,NJN,28
120,0,0.0,NJN,54
144,0,2.9,NJN,42
250,0,0.0,NJN,71
80,1,0.0,NJN,21
95,1,0.0,NJN,44
56,1,2.2,NJN,13
79,1,2.2,NJN,23
 ,0,0.0,NJN,49
131,0,0.0,NJN,52
110,0,0.0,NJN,8
87,0,0.0,NJN,6
157,1,0.0,NJN,56
0,0,0.0,NJN,5
93,1,0.0,NJN,26
91,1,1.8,NJN,14
72,0,0.0,NJN,39
67,0,4.1,NJN,9
 ,0,0.0,NJN,70
85,0,17.0,NJN,10
107,1,1.4,NJN,19
88,0,0.0,NJN,63
142,0,0.0,NJN,17
82,0,2.6,NJN,43
119,0,6.3,NJN,57
70,1,2.4,NJN,25
