Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Ortiz,Bos,12,38,8,15,1,0,2,5,0,0,14,8,0.395,0.547,0.579,1.126
Adrian Gonzalez,Bos,24,94,14,35,4,0,4,19,0,0,1,7,0.372,0.385,0.543,0.928
Pedro Ciriaco,Bos,20,69,9,24,3,2,0,9,6,0,1,11,0.348,0.357,0.449,0.806
Will Middlebrooks,Bos,18,68,6,20,3,0,3,10,1,0,2,20,0.294,0.314,0.471,0.785
Dustin Pedroia,Bos,15,58,8,16,0,0,4,8,2,1,2,1,0.276,0.295,0.483,0.778
Jacoby Ellsbury,Bos,17,69,10,21,4,0,1,3,3,0,5,7,0.304,0.351,0.406,0.757
Cody Ross,Bos,24,83,13,18,4,0,4,11,0,0,10,22,0.217,0.298,0.41,0.708
Jarrod Saltalamacchia,Bos,20,66,10,11,1,0,5,9,0,1,7,31,0.167,0.247,0.409,0.656
Mike Aviles,Bos,21,72,2,14,4,0,1,8,1,0,3,14,0.194,0.234,0.292,0.525
Daniel Nava,Bos,19,60,6,8,2,0,1,1,0,0,8,13,0.133,0.257,0.217,0.474
