RBI,Player,AB,SH,G,OPS,SF,AVG
16,P Maestrales,195,1,51,0.954,0,0.303
15,J Figueroa,86,0,24,0.86,0,0.326
20,J Castillo,190,2,50,0.622,0,0.226
3,B Brown,69,0,29,0.315,0,0.101
6,J Barksdale,47,0,16,0.434,1,0.17
0,P Strop,12,1,4,0.333,0,0.167
3,G McCarthy,46,0,13,0.522,0,0.239
2,A Lunetta,19,0,6,0.502,1,0.158
6,R Zimmerman,17,0,4,1.529,0,0.471
5,J Herrera,87,0,19,0.717,1,0.31
8,L Alen,116,2,39,0.417,0,0.181
44,M Cockrell,371,3,99,0.71,6,0.267
42,D Sutton,231,1,62,0.948,1,0.286
0,K Nelson,7,0,4,0.0,0,0.0
1,R Marcial,19,0,6,0.668,0,0.263
9,R Marconi,127,4,38,0.505,2,0.181
2,J Trejo,75,0,24,0.432,0,0.16
28,W Batista,265,6,68,0.683,2,0.238
9,R Finan,41,0,10,0.526,1,0.195
38,C Nelson,315,0,79,0.634,4,0.241
56,J Valdez,439,8,115,0.846,0,0.292
8,J Mihalics,45,4,17,0.667,1,0.267
37,M Jurich,193,0,52,0.874,2,0.29
18,D Laurin,168,3,54,0.519,4,0.161
25,K Eichas,231,1,61,0.535,0,0.212
65,B Dewitt,481,0,120,0.762,3,0.283
9,M Lombardi,44,0,14,0.58,1,0.205
35,M Szabo,377,1,105,0.675,1,0.249
8,B Thomas,34,0,11,0.949,1,0.353
31,B LeVier,229,0,59,0.626,2,0.245
54,D Ivany,409,1,113,0.742,3,0.262
63,M Carp,313,1,89,0.834,5,0.249
19,L Disla,233,2,68,0.484,3,0.197
5,A Mansolino,29,0,8,0.644,2,0.207
7,C Lozada,47,1,15,0.375,0,0.149
26,A Easley,219,0,62,0.717,0,0.233
0,R Sandora,4,0,2,0.0,0,0.0
28,B Ditter,335,0,96,0.661,7,0.26
50,B Cleveland,444,1,109,0.714,2,0.277
28,D Nicholson,345,0,92,0.625,1,0.246
106,B McCann,478,0,123,0.907,3,0.295
3,R Schade,28,1,13,0.848,0,0.357
25,J Benavidez,172,0,48,0.692,1,0.221
66,C Gimenez,384,2,112,0.757,4,0.234
8,D Brant,107,1,35,0.547,0,0.206
55,G Richardson,411,0,112,0.826,3,0.285
0,C Medero-Stullz,3,0,1,0.933,0,0.333
1,M Gamel,23,0,8,0.626,0,0.174
4,D Kelly,25,0,7,0.556,0,0.16
20,J Apodaca,123,1,35,0.662,2,0.244
16,C McGill,239,5,75,0.528,0,0.201
15,B Bock,124,1,33,0.616,3,0.258
1,C Lisk,25,2,9,0.476,0,0.16
23,R Clark,168,0,51,0.683,0,0.238
68,L Montz,343,2,100,0.791,5,0.224
0,G Savas,12,0,4,0.0,0,0.0
31,T Granadillo,234,0,67,0.811,1,0.291
6,S Pyzik,53,1,19,0.619,2,0.283
83,S Klink,474,0,131,0.719,3,0.253
13,M Reyes,133,0,43,0.514,1,0.188
2,C Jones,6,0,3,1.167,0,0.5
34,N Robledo,322,5,93,0.654,1,0.239
32,L Sorensen,315,0,95,0.633,2,0.225
42,C Armstrong,378,1,105,0.64,7,0.228
48,H Iribarren,486,13,126,0.739,5,0.29
44,J Dragicevich,374,3,104,0.77,3,0.281
13,W Plaza,125,1,62,0.53,1,0.192
67,J Otness,441,0,117,0.867,11,0.331
50,J Holt,441,12,123,0.692,4,0.268
0,D Nino,6,0,3,0.0,0,0.0
7,D Chavez,54,0,13,0.667,0,0.259
4,D Buller,65,0,20,0.592,0,0.231
39,L Santangelo,239,3,70,0.855,1,0.268
38,J Noviskey,215,0,63,0.75,2,0.247
10,C Blevins,120,3,42,0.616,0,0.2
13,A Hathaway,139,1,39,0.64,1,0.259
32,B Zobrist,247,4,68,0.828,7,0.304
1,L Apodaca,28,0,7,0.464,0,0.214
6,C De La Cruz,61,2,17,0.609,1,0.262
1,M Obradovich,32,1,9,0.454,0,0.188
1,J Devries,14,0,4,0.527,0,0.214
11,C Bruce,69,0,22,0.924,2,0.304
0,T Reynolds,11,1,3,0.58,0,0.182
62,C Sammons,427,0,121,0.75,7,0.286
32,J Murray,301,1,89,0.6,1,0.206
18,F Hernandez,153,0,44,0.606,2,0.222
6,K Fisher,98,0,29,0.443,0,0.173
38,J Ash,256,3,67,0.868,5,0.32
24,N Conte,202,1,64,0.609,0,0.233
1,J Contreras,39,0,13,0.488,1,0.179
16,M Stachowsky,115,0,37,0.667,1,0.165
12,F Guerrero,153,3,48,0.495,0,0.19
34,D Schwartzbauer,324,4,97,0.703,3,0.269
9,J Zapata,41,3,14,0.522,1,0.171
65,M Carlin,308,0,89,0.966,3,0.318
8,R Lane,36,0,10,1.089,0,0.389
12,J Lomack,181,4,59,0.601,0,0.243
24,B Davis,228,3,64,0.645,2,0.228
18,G Gutierrez,232,2,71,0.672,1,0.259
46,D Batz,429,0,120,0.727,5,0.28
0,P Witt,13,0,4,0.564,0,0.231
27,M Whitney,277,0,74,0.664,3,0.242
35,J Natale,160,1,47,1.006,2,0.338
35,O Sheldon,247,0,68,0.706,5,0.259
60,B Finegan,435,5,115,0.802,5,0.292
34,S Robinson,127,0,34,0.842,1,0.291
36,A Escobar,520,11,127,0.666,4,0.271
