"Assets, liabilities, and capital",Total,Boston,New York,Philadelphia,Cleveland,Richmond,Atlanta,Chicago,St. Louis,Minneapolis,Kansas City,Dallas,San Francisco
Assets, , , , , , , , , , , , , 
Gold certificate account,"11,037",510,"4,355",432,453,836,945,928,327,212,318,549,"1,172"
Special drawing rights certificate acct.,"2,200",115,874,83,104,147,166,212,71,30,66,98,234
Coin,656,23,33,52,51,48,81,120,35,23,45,51,94
"Securities, repurchase agreements,", , , , , , , , , , , , , 
and loans,"745,520","36,921","309,901","25,599","30,485","55,072","55,833","65,054","22,406","15,104","20,423","35,544","73,177"
Securities held outright,"721,629","36,921","286,151","25,599","30,485","55,072","55,829","64,986","22,393","15,072","20,411","35,541","73,169"
U.S. Treasury (1),"721,629","36,921","286,151","25,599","30,485","55,072","55,829","64,986","22,393","15,072","20,411","35,541","73,169"
Bills (2),"264,288","13,522","104,799","9,375","11,165","20,170","20,447","23,800","8,201","5,520","7,475","13,017","26,797"
Notes and bonds(3),"457,341","23,399","181,352","16,224","19,320","34,903","35,382","41,186","14,192","9,552","12,936","22,525","46,371"
Federal agency (2),0,0,0,0,0,0,0,0,0,0,0,0,0
Repurchase agreements(4),"23,750",0,"23,750",0,0,0,0,0,0,0,0,0,0
Loans,141,0,0,0,0,0,4,68,14,32,12,2,8
Items in process of collection,"6,282",398,357,259,631,458,770,291,121,343,572,218,"1,864"
Bank premises,"1,815",104,200,54,156,143,274,180,62,121,85,269,166
Other assets(5),"36,706","3,267","13,777","1,063","2,471","4,895","1,987","2,504",874,740,652,902,"3,575"
Interdistrict settlement account,0,- 132,"- 4,056","+ 4,430",+ 345,"+ 2,448","+ 2,122","+ 1,103",- 42,- 435,- 441,"- 3,103","- 2,238"
Total Assets,"804,216","41,205","325,440","31,971","34,696","64,048","62,179","70,393","23,855","16,139","21,719","34,528","78,043"
