RBI,BB,Team,HR
14,19,FW,5
0,0,WM,0
0,5,SB,0
37,22,WIS,6
20,49,LC,4
43,17,FW,9
28,15,QC,2
6,5,QC,2
23,33,DAY,2
18,9,BEL,5
65,32,CLI,16
29,43,QC,4
49,38,BG,1
40,34,CLI,10
10,13,WIS,0
53,21,WIS,7
26,25,LC,0
0,8,KC,0
13,6,CR,2
42,29,QC,8
37,13,PEO,3
17,14,WM,6
24,21,LAN,3
2,1,BEL,0
29,18,DAY,0
76,45,WM,7
20,17,CLI,4
47,31,BUR,6
10,12,SB,1
65,16,WM,16
11,12,BEL,2
6,5,QC,1
29,23,CLI,4
29,22,LAN,4
39,12,WM,13
40,25,DAY,7
16,23,KC,0
81,38,BG,22
10,27,PEO,0
1,1,FW,0
2,5,CLI,0
7,7,QC,3
19,41,WM,5
35,39,LC,3
71,34,DAY,16
0,0,QC,0
0,1,WIS,0
31,17,DAY,1
45,37,GL,12
42,34,KC,3
34,28,BEL,4
27,11,FW,3
72,60,WIS,15
3,3,WM,1
44,86,BG,6
41,25,BEL,7
14,13,WM,2
26,20,PEO,2
1,0,FW,0
1,6,CR,0
9,7,BEL,2
30,14,SB,7
6,3,WIS,0
1,7,GL,0
5,3,WM,0
50,42,FW,5
14,8,KC,3
4,2,LAN,0
13,38,CLI,3
34,27,QC,1
28,46,WM,0
55,44,LAN,14
59,37,BUR,14
0,1,LC,0
0,0,WM,0
3,5,CR,0
24,8,LAN,5
5,4,WIS,1
44,37,GL,7
1,0,DAY,0
69,35,LC,19
1,1,PEO,0
6,2,LC,1
50,36,SB,2
43,53,FW,2
25,47,SB,1
23,19,BEL,2
25,21,QC,5
12,15,CR,3
28,49,PEO,2
37,15,CR,3
26,20,BUR,3
95,73,SB,31
20,16,CR,0
35,24,WIS,8
0,1,FW,0
33,34,GL,12
21,14,BG,4
17,4,CR,3
12,7,CLI,1
2,6,QC,0
16,8,PEO,2
20,12,BUR,3
31,10,BG,8
22,35,GL,2
10,9,CR,0
32,29,LAN,4
7,4,CLI,0
64,13,CR,10
6,4,FW,0
7,9,GL,0
44,24,WM,7
5,12,WM,0
4,9,CR,0
13,14,SB,0
60,24,KC,14
29,30,BUR,3
6,10,KC,0
13,24,KC,2
4,5,CR,1
43,37,DAY,3
8,5,WM,0
34,38,CR,8
25,28,CLI,4
9,2,BEL,1
42,38,WM,8
2,2,KC,0
1,2,FW,0
7,7,CLI,1
40,82,WIS,2
14,14,WIS,2
19,12,LAN,3
21,23,LC,6
41,37,LAN,3
22,10,BG,5
22,18,SB,2
40,37,FW,3
9,8,LC,1
15,15,LAN,1
21,17,FW,3
9,24,CR,0
2,5,FW,0
19,16,CLI,2
1,2,CR,0
42,13,LC,11
76,53,BEL,15
24,9,LC,8
11,14,SB,0
18,8,WM,0
22,20,BUR,2
55,40,CR,9
12,9,LC,0
24,29,LC,0
11,14,KC,1
31,15,KC,8
9,2,WIS,0
37,23,CR,4
34,36,FW,1
18,16,QC,0
4,3,WIS,0
30,14,KC,5
6,10,CLI,1
24,17,PEO,0
1,0,LC,0
0,0,CR,0
2,4,FW,0
11,5,CR,1
66,27,QC,11
57,25,CLI,10
3,2,BUR,0
1,2,WM,0
29,14,BG,3
15,6,PEO,3
14,9,KC,1
6,14,PEO,0
39,55,LAN,4
68,36,FW,9
23,38,BUR,3
37,25,GL,11
0,0,CLI,0
2,2,FW,0
70,77,QC,20
37,16,PEO,2
54,39,QC,10
16,15,KC,4
11,14,KC,1
1,3,PEO,0
13,6,FW,1
33,19,QC,4
32,11,SB,7
28,26,CLI,4
24,14,FW,2
11,8,LAN,0
56,42,SB,9
5,7,CLI,0
16,21,BEL,4
49,59,BUR,7
