DRB%,Opp,GmSc,G,DRtg,ORB%,GS,STL%,BLK%
31.2,BOS,0.9,48,84,0.0,0,0.0,0.0
0.0,SAC,6.4,39,133,14.2,0,0.0,0.0
0.0,MIL,-1.4,37,95,0.0,0,0.0,0.0
0.0,CHA,-3.4,12,98,0.0,0,0.0,0.0
86.4,PHI,-1.5,14,73,0.0,0,0.0,0.0
6.4,PHI,-0.4,50,125,0.0,0,0.0,0.0
0.0,DAL,2.9,2,106,0.0,0,0.0,0.0
0.0,WAS,-2.1,47,109,0.0,0,0.0,0.0
15.6,NYK,1.3,7,111,0.0,0,0.0,0.0
0.0,MIN,-0.7,15,94,0.0,0,0.0,0.0
0.0,IND,0.0,49,123,0.0,0,0.0,0.0
64.6,NJN,0.5,5,76,0.0,0,0.0,0.0
0.0,SAC,6.9,29,124,7.1,0,3.0,0.0
7.3,GSW,8.8,27,116,14.3,0,0.0,0.0
0.0,LAL,0.0,25,133,0.0,0,0.0,0.0
0.0,SAS,0.0,46,107,0.0,0,0.0,0.0
54.9,MIA,0.3,18,115,0.0,0,0.0,0.0
0.0,TOR,2.7,13,110,0.0,0,0.0,0.0
81.1,DEN,0.6,16,13,0.0,0,33.5,0.0
75.3,CHI,0.3,3,91,0.0,0,0.0,0.0
0.0,CHI,0.0,23,112,0.0,0,0.0,0.0
0.0,OKC,0.0,17,118,0.0,0,0.0,0.0
0.0,POR,0.0,26,122,0.0,0,0.0,0.0
0.0,HOU,1.0,35,122,0.0,0,0.0,0.0
0.0,CHA,2.7,20,55,0.0,0,22.2,0.0
0.0,BOS,0.0,38,48,0.0,0,39.4,0.0
11.3,DET,1.2,33,88,0.0,0,7.0,0.0
0.0,IND,-0.4,11,97,0.0,0,0.0,0.0
100.0,BOS,0.3,21,44,0.0,0,0.0,0.0
