Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Nick Natoli,Por,9,2,5,1,0,0,2,1,0,0,2,0.556,0.556,0.667,1.222
J.C. Linares,Por,148,25,41,9,2,4,26,0,0,13,38,0.277,0.366,0.446,0.812
Xander Bogaerts,Por,95,17,26,4,1,2,9,2,1,19,22,0.274,0.397,0.4,0.797
Shannon Wilkerson,Por,227,38,62,12,6,2,21,16,5,36,56,0.273,0.373,0.405,0.778
Alberto Rosario,Por,12,1,4,0,0,0,2,0,0,2,3,0.333,0.438,0.333,0.771
Travis Shaw,Por,242,28,55,13,4,7,32,4,2,41,66,0.227,0.343,0.401,0.743
Christian Vazquez,Por,183,22,51,8,0,3,22,3,4,23,26,0.279,0.362,0.372,0.733
Tony Thomas,Por,216,25,52,15,3,6,42,7,2,16,50,0.241,0.304,0.421,0.725
Garin Cecchini,Por,139,20,36,5,2,1,15,4,3,24,34,0.259,0.371,0.345,0.717
Ryan Dent,Por,102,17,30,4,0,1,10,5,3,9,21,0.294,0.351,0.363,0.714
Michael Almanzar,Por,269,38,67,14,1,8,39,8,1,21,55,0.249,0.308,0.398,0.706
Heiker Meneses,Por,147,22,40,6,0,2,13,5,5,13,40,0.272,0.348,0.354,0.701
Matty Johnson,Por,48,5,14,2,0,0,2,4,5,4,7,0.292,0.358,0.333,0.692
Peter Hissey,Por,139,15,34,8,0,1,11,8,2,13,37,0.245,0.303,0.324,0.627
Ronald Bermudez,Por,46,9,12,0,0,1,6,1,0,3,10,0.261,0.3,0.326,0.626
Kolbrin Vitek,Por,96,5,26,4,0,0,8,5,1,5,22,0.271,0.308,0.313,0.62
Derrik Gibson,Por,132,13,32,3,0,0,8,7,1,19,34,0.242,0.338,0.265,0.603
Brandon Jacobs,Por,5,1,1,1,0,0,0,0,0,0,1,0.2,0.2,0.4,0.6
Matt Spring,Por,109,10,19,7,0,5,16,0,0,5,38,0.174,0.217,0.376,0.594
Deven Marrero,Por,54,6,14,0,0,0,5,6,0,7,10,0.259,0.333,0.259,0.593
Leonel Escobar,Por,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5
Kevin Heller,Por,8,0,1,0,0,0,0,0,0,1,1,0.125,0.222,0.125,0.347
