Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Felix Sanchez,SalGre,75,247,41,52,6,0,1,15,27,10,16,92,0.211,0.284,0.247,0.531
Anthony Amaya,DSL,9,26,2,5,1,0,0,2,3,0,3,6,0.192,0.3,0.231,0.531
Nick Moore,GreLow,81,261,27,46,9,1,3,23,10,2,32,126,0.176,0.271,0.253,0.524
Kolbrin Vitek,PorGCL,61,208,14,43,9,1,0,14,5,3,14,63,0.207,0.261,0.26,0.521
Alixon Suarez,GCL,31,109,11,23,6,0,0,13,1,0,5,22,0.211,0.254,0.266,0.52
Jonathan Hee,Paw,2,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5
Jantzen Witte,LowGCL,33,107,8,18,5,1,0,10,0,0,9,24,0.168,0.258,0.234,0.492
Jose Vinicio,Gre,107,391,44,75,14,4,1,26,21,9,12,108,0.192,0.225,0.256,0.481
Dreily Guerrero,Gre,56,164,23,28,5,0,1,8,5,2,15,56,0.171,0.242,0.22,0.461
Leonel Escobar,3 Teams,16,47,0,9,1,0,0,2,0,0,3,12,0.191,0.24,0.213,0.453
Williams Jerez,Low,38,117,7,20,6,1,0,8,3,1,4,24,0.171,0.205,0.239,0.444
Vladimir Frias,Sal,9,26,1,5,0,0,0,0,1,1,2,5,0.192,0.25,0.192,0.442
David Sopilka,Low,32,109,5,19,2,0,0,3,0,0,9,30,0.174,0.24,0.193,0.432
Jose Garcia,Sal,34,108,2,19,3,1,0,10,2,3,5,24,0.176,0.209,0.222,0.431
Quintin Berry,Paw,3,8,1,1,0,0,0,0,2,0,1,2,0.125,0.3,0.125,0.425
David Ross,PawPor,7,19,3,2,2,0,0,2,0,0,2,7,0.105,0.19,0.211,0.401
Oscar Bartomolde,DSL,25,60,12,7,1,1,0,4,3,2,9,18,0.117,0.232,0.167,0.399
Zach Kapstein,Low,2,8,0,1,1,0,0,1,0,0,0,3,0.125,0.125,0.25,0.375
Miguel Rodriguez,Low,11,40,1,6,1,0,0,5,0,1,1,15,0.15,0.171,0.175,0.346
Luis Yovera,DSL,15,39,1,4,1,0,0,0,1,2,4,12,0.103,0.205,0.128,0.333
Gerardo Carrizalez,DSL,14,41,7,4,0,0,0,1,1,0,5,9,0.098,0.213,0.098,0.31
Rafael Oliveras,GCLDSL,7,11,0,0,0,0,0,0,0,0,2,4,0.0,0.154,0.0,0.154
Beau Bishop,GCL,2,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
