ORB%,BLK%,TRB%,eFG%,MP
0.0,0.0,0.0,.000,1:00
0.0,0.0,6.0,.167,19:00
0.0,0.0,55.8,1.000,1:00
0.0,0.0,18.8, ,3:00
0.0,0.0,0.0, ,2:00
0.0,0.0,9.4, ,6:00
16.7,0.0,8.2,.400,8:00
0.0,0.0,0.0,.000,9:00
0.0,0.0,64.9, ,1:00
20.8,0.0,13.2,.000,14:00
9.2,0.0,13.2,.333,13:00
0.0,0.0,28.2,1.000,4:00
0.0,0.0,0.0, ,7:00
14.3,0.0,12.0,.250,8:00
15.6,0.0,8.2,.250,15:00
8.6,0.0,9.8,.667,22:00
0.0,0.0,21.3,.000,3:00
0.0,0.0,32.4, ,4:00
0.0,0.0,8.8, ,6:00
0.0,0.0,7.5,.000,8:00
14.8,0.0,14.6,1.000,9:00
0.0,0.0,0.0, ,1:00
19.4,0.0,16.8,.250,13:00
10.3,0.0,14.0,.750,13:00
0.0,0.0,0.0, ,8:00
6.3,0.0,11.9,.000,20:00
12.6,3.3,9.5,.400,19:00
