HR,BB,AB,GIDP,SH,SF,Player,R,H
27,49,396,15,0,2,J Gutierrez,74,131
18,24,365,8,3,1,R Acosta,62,113
8,20,352,17,1,4,R Orantes,45,128
1,16,111,3,2,0,A Martinez,9,27
10,20,294,8,2,2,J Castillo,56,105
4,11,175,6,0,1,P Diaz,16,48
0,1,8,1,1,0,O Robles,0,2
1,21,104,4,2,2,V Gamez,19,33
0,1,46,3,0,0,R Sanchez,1,13
1,9,58,1,1,0,C Piste,6,13
1,10,87,8,1,0,E Solis,5,17
3,30,188,7,5,0,O Mendoza,34,51
11,47,380,10,1,1,C Rivera,58,120
2,9,126,4,1,3,B Lopez,12,24
20,57,350,13,0,6,G Martinez,78,113
10,24,157,3,0,4,R Saucedo,28,49
0,6,64,4,4,0,F Gutierrez,12,17
3,10,98,2,1,0,F Rodriguez,12,33
11,60,298,8,0,2,F Mendez,57,81
9,48,376,13,7,0,J Castillo,69,111
2,10,119,3,2,1,J Salazar,20,30
4,22,232,5,13,3,C Herrera,40,65
14,26,205,3,8,1,M Leon,49,70
