BLK%,AST%,DRB%,Opp,eFG%
6.5,0.0,11.5,NJN,.000
0.0,0.0,36.0,ORL,1.000
0.0,0.0,25.6,SAC, 
0.0,17.2,5.2,ATL,1.000
0.0,0.0,44.8,IND,.625
0.0,15.4,23.5,DEN,.800
14.5,0.0,9.3,MIA,1.000
4.6,0.0,9.7,ORL,1.000
8.8,0.0,20.8,MIN,.500
2.2,5.6,33.9,SAC,.625
0.0,0.0,18.0,PHI,.667
3.8,0.0,52.5,IND,.400
5.7,9.5,9.3,MIA,.286
0.0,15.8,16.8,CLE,.400
0.0,24.5,5.8,CHH,.500
0.0,8.3,31.0,CLE,.750
0.0,0.0,52.9,NJN,1.000
0.0,0.0,47.1,MIL,.375
5.5,9.4,25.2,PHI,.000
2.7,0.0,21.2,ATL,.500
0.0,0.0,0.0,MIA, 
5.8,0.0,11.5,WSB,1.000
0.0,20.7,14.9,IND,.500
0.0,0.0,20.7,POR,.500
10.3,9.3,22.2,PHI,.333
5.5,18.2,29.3,ATL,1.000
0.0,0.0,26.1,PHO, 
5.9,5.8,17.6,WSB,.667
12.0,0.0,9.9,SAS,.667
0.0,0.0,21.3,LAC,.000
7.0,0.0,11.3,DET,.000
0.0,0.0,0.0,DET,1.000
