Date,ORtg,ORB%,GmSc,BLK%,DRtg
1986-12-23,135,17.3,7.5,3.6,124
1987-03-03,61,10.2,-1.2,0.0,117
1986-11-20,66,0.0,-0.3,0.0,109
1987-02-19,126,5.6,8.4,0.0,123
1987-01-21, ,0.0,0.0,0.0,128
1987-01-14,0,0.0,-1.8,0.0,100
1987-01-17,132,14.6,4.0,0.0,114
1987-01-29,82,0.0,1.8,0.0,102
1987-02-04,89,0.0,2.8,0.0,112
1987-04-09,0,0.0,-1.1,0.0,85
1986-11-05,0,0.0,-1.0,0.0,111
1987-04-11,107,8.6,6.1,0.0,111
1987-02-12, ,0.0,0.6,0.0,96
1987-01-08,142,15.7,3.0,0.0,101
1986-12-19,106,0.0,6.0,0.0,111
1987-04-01,76,0.0,-0.1,0.0,127
1987-03-15,62,38.1,-0.4,0.0,114
1987-04-18,78,0.0,1.3,0.0,113
1987-02-05,62,3.8,0.2,2.5,102
1986-12-04, ,0.0,0.0,0.0,108
1986-12-21,94,25.6,5.1,0.0,94
