IP,OBP,AVG,AGE,GS,AB,oppOBP,SLG
167.7,0.337,0.269,32,30,631,0.306,0.384
154.3,0.289,0.237,30,24,586,0.321,0.382
203.7,0.308,0.274,33,33,799,0.304,0.421
201.7,0.327,0.252,26,33,750,0.308,0.375
90.7,0.307,0.235,30,15,341,0.324,0.378
211.7,0.336,0.285,34,33,828,0.321,0.448
198.7,0.294,0.259,34,32,757,0.312,0.406
77.7,0.324,0.263,22,11,289,0.309,0.346
174.0,0.325,0.274,26,31,676,0.321,0.45
208.3,0.296,0.24,23,32,788,0.308,0.376
112.3,0.306,0.261,30,18,429,0.309,0.406
90.0,0.367,0.311,22,14,366,0.325,0.516
185.3,0.321,0.275,41,30,721,0.317,0.411
76.7,0.295,0.214,26,0,271,0.318,0.31
210.7,0.305,0.247,25,32,798,0.313,0.363
116.3,0.299,0.264,23,19,439,0.314,0.494
75.3,0.334,0.293,29,0,300,0.316,0.42
200.0,0.3,0.247,24,33,762,0.319,0.395
116.0,0.339,0.261,29,20,433,0.308,0.344
126.0,0.339,0.277,28,21,487,0.324,0.415
124.3,0.321,0.267,22,20,484,0.317,0.407
182.0,0.331,0.285,28,30,727,0.306,0.42
213.3,0.314,0.253,29,33,827,0.318,0.389
161.0,0.297,0.224,29,26,599,0.314,0.314
96.0,0.291,0.249,27,0,357,0.316,0.359
157.7,0.34,0.268,26,31,627,0.312,0.445
124.0,0.326,0.259,25,15,479,0.308,0.367
105.7,0.33,0.295,34,20,424,0.309,0.45
203.7,0.324,0.276,34,33,807,0.32,0.43
177.0,0.314,0.27,24,29,684,0.313,0.395
151.0,0.336,0.281,32,24,584,0.321,0.461
117.7,0.359,0.257,34,20,432,0.315,0.426
169.3,0.33,0.272,31,25,665,0.316,0.442
128.7,0.309,0.248,29,15,471,0.32,0.416
213.0,0.313,0.259,26,33,810,0.317,0.399
219.7,0.258,0.22,32,33,813,0.322,0.371
177.7,0.291,0.234,29,28,650,0.31,0.355
86.3,0.287,0.242,30,9,326,0.312,0.414
75.0,0.295,0.216,25,0,278,0.314,0.291
151.0,0.348,0.26,34,26,574,0.32,0.425
137.0,0.321,0.272,27,23,523,0.318,0.44
191.0,0.304,0.231,36,30,714,0.311,0.335
143.0,0.333,0.261,27,23,537,0.308,0.421
172.7,0.257,0.182,20,28,611,0.315,0.265
81.7,0.323,0.262,29,0,298,0.312,0.359
117.3,0.302,0.253,22,19,431,0.313,0.336
135.0,0.327,0.296,29,22,544,0.31,0.432
200.0,0.292,0.222,26,32,735,0.316,0.351
84.3,0.317,0.271,29,13,328,0.317,0.436
118.0,0.344,0.262,22,20,443,0.31,0.402
180.7,0.325,0.261,27,31,689,0.312,0.395
121.0,0.294,0.237,36,15,452,0.322,0.381
92.7,0.333,0.25,30,18,364,0.314,0.401
183.3,0.338,0.264,24,32,708,0.31,0.384
133.3,0.383,0.318,35,25,544,0.311,0.491
85.3,0.31,0.241,30,10,320,0.316,0.388
80.7,0.292,0.223,25,8,292,0.309,0.325
236.0,0.244,0.195,25,33,840,0.309,0.277
183.0,0.281,0.207,24,30,657,0.31,0.307
