Player,AVG,R,3B,SF,BB,SO,SH,2B,RBI
G Davis,0.313,9,0,3,2,20,1,6,12
D Harris,0.256,47,3,3,30,121,0,26,52
P O'Brien,0.245,47,1,0,16,77,0,14,51
J Lagares,0.25,2,0,0,1,3,0,0,1
A Lavisky,0.278,26,0,1,12,44,1,10,25
M Bourn,0.087,0,0,0,2,10,0,0,0
C Hernandez,0.34,13,1,1,13,13,0,4,14
B Harper,0.6,4,0,0,3,1,0,1,7
B Burgamy,0.276,80,1,3,71,101,0,32,76
P Rankin,0.209,5,0,0,0,15,1,1,0
M Gonzales,0.264,14,0,0,9,26,0,7,18
T Fedroff,0.216,12,0,2,8,29,0,5,14
Y Carter,0.183,6,0,1,3,19,0,3,5
J Fox,0.308,42,0,2,20,49,0,15,70
E Blair,0.24,9,0,0,10,27,1,4,11
K Knudson,0.215,15,0,3,13,57,2,16,33
J Berti,0.27,69,7,4,35,82,5,21,50
G Pierre,0.214,2,0,1,1,11,0,1,3
D Machado,0.305,45,1,3,40,36,4,23,32
T Blaser,0.233,10,0,0,3,23,0,4,4
D Travis,0.298,68,7,4,37,60,2,20,52
A Burns,0.255,71,5,8,41,99,3,32,63
Z Chavez,0.167,4,1,0,5,11,0,0,1
G Sanchez,0.27,48,0,3,43,91,0,19,65
O Tejeda,0.204,6,1,1,1,13,0,0,4
K Vargas,0.281,50,0,3,43,68,0,17,63
D Bethea,0.25,0,0,0,1,1,0,1,3
K Tomlinson,0.268,63,6,4,44,82,8,9,32
J Ruettiger,0.282,24,1,0,11,22,3,6,10
T d'Arnaud,0.125,2,0,0,1,0,0,0,2
D Green,0.311,51,1,2,28,80,0,26,65
B Waring,0.212,40,0,1,40,150,0,28,43
A Abraham,0.231,11,0,1,12,15,0,8,9
E Rosario,0.237,40,3,2,17,68,0,20,36
G Rosa,0.282,59,1,4,12,95,3,27,69
X Carrillo,0.283,28,0,2,11,32,1,7,19
A Fermin,0.262,17,0,2,8,10,0,6,16
C Barmes,0.333,0,0,0,0,0,0,0,0
R Segedin,0.283,46,1,4,52,60,0,21,49
S Welch,0.222,48,3,6,48,99,1,16,49
J Parker,0.275,52,6,1,45,103,0,20,58
K Emsley-Pai,0.0,2,0,0,4,4,0,0,0
G Bird,0.253,16,0,1,18,27,0,8,11
P Lavin,0.283,40,3,3,14,31,4,17,31
L Moore,0.221,9,1,2,20,48,2,12,17
B Glenn,0.231,31,1,2,20,53,0,10,23
J Lowery,0.201,27,3,4,33,71,0,7,19
D Chester,0.231,21,0,2,18,68,0,9,31
J Murphy,0.225,19,0,0,15,30,1,4,15
B Bantz,0.271,7,0,0,4,14,1,5,6
C Wimberly,0.252,32,5,1,15,37,7,13,19
J Cunningham,0.246,46,4,4,27,69,6,16,27
A Sanchez,0.223,34,0,2,23,42,1,6,29
F Arcia,0.32,5,1,2,5,16,0,6,16
