Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Garin Cecchini,Gre,325,66,110,32,3,4,49,37,3,48,62,0.338,0.423,0.492,0.916
Jeremy Hazelbaker,PawPor,322,55,89,17,4,14,44,31,8,30,90,0.276,0.352,0.484,0.836
Manuel Margot,DSL,174,33,47,9,3,4,34,27,8,21,12,0.27,0.371,0.425,0.796
Shannon Wilkerson,PorSal,364,42,95,19,3,3,37,23,5,20,75,0.261,0.298,0.354,0.653
Jackie Bradley,PorSal,329,63,104,30,3,5,41,19,7,71,58,0.316,0.438,0.471,0.909
Jose Garcia,Gre,258,46,66,11,2,6,28,18,7,34,65,0.256,0.346,0.384,0.729
Mike Miller,Low,181,29,47,10,1,1,10,17,0,18,22,0.26,0.33,0.343,0.673
Mookie Betts,Low,171,23,40,6,0,0,23,15,3,26,26,0.234,0.342,0.269,0.611
Sean Coyle,Sal,347,42,86,26,2,6,46,14,1,20,92,0.248,0.313,0.386,0.699
Cody Koback,Gre,234,27,63,8,1,3,28,14,3,10,55,0.269,0.324,0.35,0.675
Peter Hissey,Por,170,19,44,11,1,1,20,14,4,14,36,0.259,0.314,0.353,0.667
Felix Sanchez,Sal,100,6,22,4,1,0,6,14,4,9,34,0.22,0.304,0.28,0.584
Robert Del Rosario,DSL,183,26,42,5,2,3,25,13,2,18,40,0.23,0.298,0.328,0.625
Derrik Gibson,Por,301,37,69,9,3,0,21,13,3,29,73,0.229,0.299,0.279,0.578
Jose Vinicio,GreLow,191,32,57,4,2,3,26,12,10,11,39,0.298,0.34,0.387,0.727
Che-Hsuan Lin,Paw,285,30,76,10,2,2,27,12,4,34,49,0.267,0.348,0.337,0.685
Brandon Jacobs,Sal,341,39,72,22,0,6,38,12,5,27,109,0.211,0.279,0.328,0.607
Heiker Meneses,PorSal,290,32,63,14,3,2,27,12,9,18,71,0.217,0.282,0.307,0.589
Keury De La Cruz,SalGre,370,55,112,28,4,18,71,11,4,15,80,0.303,0.335,0.546,0.881
Deven Marrero,Low,162,29,42,9,3,1,16,11,2,23,33,0.259,0.353,0.37,0.723
Andres Garcia,DSL,161,32,39,3,3,0,22,11,6,39,24,0.242,0.39,0.298,0.689
Jeremias Pineda,GCL,85,13,39,3,2,0,19,10,4,3,14,0.459,0.484,0.541,1.025
Pedro Ciriaco,Paw,203,26,59,11,2,4,18,10,5,3,37,0.291,0.304,0.424,0.728
Jose Iglesias,PawLow,283,33,76,7,1,1,18,10,3,19,32,0.269,0.315,0.311,0.626
Travis Shaw,PorSal,323,54,91,29,3,12,58,9,2,61,87,0.282,0.397,0.502,0.899
