Result,SF,Notes,H
L 4-7 @SLN,0,1st career RBI,2
L 4-8 vs CIN,0,2 home runs,2
L 4-8 vs CIN,0,1st career home run,1
W 10-5 @LAN,0,"2 home runs, 5 RBIs",2
W 9-3 vs MON,0,5 RBIs,3
L 3-4 vs CHN,1,1st career RBI,0
L 3-6 vs MON,0,1st career hit,1
L 3-5 vs PHI,0,"1st career game, 1st career hit",2
L 5-8 vs SLN,0,1st career RBI,0
W 8-3 vs MON,0,1st career hit,1
L 4-6 vs FLO,0,1st career hit,1
L 5-9 @PHI,0,2 home runs,2
W 8-3 vs MON,0,1st career game,0
L 2-6 vs CIN,2,2 sacrifice flies,0
W 6-3 vs LAN,1,5 RBIs,1
L 2-6 vs LAN,0,1000th career game,0
W 1-0 vs SLN,0,1st career game,0
L 1-7 @HOU,0,1st career game,0
L 2-7 @HOU,0,1st career game,0
W 3-1 @SFN,0,4 hits,4
