R,G,CS,SB,Team,POS,GIDP
14,36,5,10,RAY,SS,2
11,23,5,4,PIR,3B,0
9,21,4,2,PIR,3B,0
20,45,0,1,PHL,3B,2
0,13,0,1,AST,3B,1
1,5,0,0,ORI,C,3
11,31,1,1,CAR,3B,2
24,46,0,5,NAT,RF,3
9,34,1,0,BRA,1B,4
6,24,2,2,AST,2B,0
1,4,0,0,YAN,3B,0
3,11,0,0,NAT,C,0
3,10,0,0,ORI,1B,1
15,42,1,2,ORI,SS,7
6,21,2,0,CAR,OF,0
15,49,1,3,BLU,3B,3
0,1,0,0,BLU,OF,0
3,14,0,2,ORI,RF,2
7,31,1,1,YAN,LF,1
4,5,0,1,TWI,LF,0
4,15,0,1,PIR,C,1
2,8,0,0,TWI,C,0
12,39,0,0,BRA,2B,5
1,5,0,4,BLU,OF,0
1,5,0,0,AST,SS,1
9,26,1,0,CAR,SS,1
18,39,5,9,PIR,LF,3
25,51,1,10,AST,OF,3
16,56,1,5,AST,2B,5
10,33,0,0,MRL,1B,3
4,5,0,1,PHL,LF,1
2,3,0,0,BLU,C,0
20,49,4,7,RAY,RF,1
7,32,1,0,PHL,C,1
12,22,0,0,CAR,C,1
1,9,0,0,TIG,1B,1
6,25,0,0,RAY,1B,1
22,41,3,14,CAR,CF,2
8,24,6,5,BLU,CF,1
12,44,3,3,TWI,1B,6
16,41,5,3,PHL,LF,2
3,9,1,4,BLU,SS,0
5,27,2,1,TWI,SS,2
27,48,7,11,TWI,SS,2
15,47,2,2,MRL,LF,2
21,45,0,1,CAR,1B,2
14,40,1,2,RAY,2B,5
16,30,2,4,TIG,LF,1
0,17,0,0,ORI,C,0
6,23,1,0,CAR,C,2
7,16,0,0,MRL,C,5
10,31,1,0,AST,1B,1
0,1,0,0,AST,CF,0
13,27,0,0,RSX,1B,0
19,36,1,4,BLU,C,0
34,56,6,2,MRL,OF,5
3,4,0,0,RSX,CF,0
0,2,0,0,AST,C,0
18,47,5,4,PIR,RF,2
19,39,4,6,YAN,SS,2
16,32,1,4,MRL,SS,2
1,3,1,1,TWI,CF,0
7,43,1,0,NAT,3B,7
4,14,1,1,TIG,DH,0
14,33,4,8,RAY,SS,1
0,2,0,0,PIR,1B,0
1,2,0,0,NAT,C,0
16,52,2,3,AST,1B,4
13,27,0,5,AST,C,1
7,37,0,0,CAR,OF,5
15,34,5,12,PIR,LF,2
3,8,0,0,NAT,C,1
12,20,0,1,RSX,1B,2
31,40,4,15,TIG,CF,0
33,54,5,19,NAT,SS,2
14,27,2,5,BRA,CF,0
6,26,2,3,TIG,1B,3
13,23,0,2,AST,3B,1
26,54,5,7,AST,CF,1
12,39,2,2,TWI,2B,8
16,39,3,5,RAY,CF,2
19,49,2,5,TWI,3B,4
14,29,4,1,PHL,OF,4
0,3,0,0,ORI,C,0
0,1,0,0,BRA,C,0
7,39,0,0,ORI,C,6
1,5,0,0,ORI,1B,0
1,2,0,0,ORI,2B,0
1,7,1,0,BLU,C,0
15,37,0,2,BLU,LF,0
9,43,2,5,NAT,1B,3
4,15,0,3,TWI,LF,2
3,9,0,0,YAN,C,1
20,40,0,3,CAR,2B,0
1,3,1,1,ORI,SS,0
4,12,2,0,MRL,1B,0
6,10,0,2,PIR,OF,1
9,17,0,0,YAN,C,0
5,23,0,2,BRA,C,2
1,19,0,0,PHL,C,0
6,15,0,2,RAY,C,0
26,42,0,18,MRL,2B,1
6,23,1,3,MRL,2B,5
14,24,3,3,BLU,SS,1
12,26,2,4,YAN,1B,1
15,24,0,0,TIG,C,2
2,4,0,0,YAN,C,1
7,32,1,0,RSX,1B,0
1,5,0,0,PHL,OF,1
1,3,0,0,BLU,C,0
19,43,5,4,CAR,SS,3
0,3,0,0,CAR,1B,0
23,46,0,0,YAN,1B,5
3,5,0,2,YAN,CF,0
4,26,2,2,PHL,RF,0
3,12,0,1,YAN,LF,0
1,7,0,0,YAN,2B,2
5,17,0,2,NAT,DH,1
13,30,2,6,TWI,OF,1
4,29,3,2,BRA,OF,5
5,8,1,1,TIG,2B,0
2,10,1,2,AST,OF,0
0,1,0,0,ORI,C,0
10,36,1,1,TWI,3B,2
4,5,0,5,NAT,CF,1
1,2,0,0,YAN,2B,0
0,18,1,0,AST,C,0
3,9,2,0,PIR,C,0
9,27,0,2,AST,LF,0
0,2,0,0,RAY,C,0
1,3,0,0,ORI,C,0
21,50,3,1,YAN,3B,3
8,33,1,0,MRL,3B,8
1,2,0,0,CAR,OF,0
2,10,0,0,MRL,1B,1
9,16,0,0,RSX,C,2
10,32,1,0,TIG,3B,1
0,2,0,0,RAY,CF,0
1,2,0,0,CAR,DH,1
15,32,4,5,NAT,OF,5
12,25,2,0,PHL,SS,1
6,10,0,0,PHL,OF,0
14,52,2,1,BLU,SS,2
28,52,9,23,TWI,CF,3
0,4,0,3,PHL,OF,0
21,48,2,8,YAN,CF,3
23,39,1,5,AST,SS,1
11,28,2,3,TIG,RF,0
3,11,2,1,AST,LF,0
17,36,2,2,CAR,RF,4
9,15,1,4,BLU,2B,0
9,30,0,1,TWI,C,2
5,20,1,0,BLU,LF,0
9,38,0,0,NAT,C,3
9,33,0,1,TIG,C,1
4,17,0,0,RAY,1B,0
8,15,0,0,CAR,C,0
20,40,5,14,PHL,SS,4
14,40,0,0,MRL,1B,3
24,45,8,10,PIR,C,0
12,37,2,1,RAY,CF,2
2,14,2,2,PIR,CF,2
12,30,0,2,RSX,2B,1
13,41,4,2,BRA,LF,4
17,21,3,10,BRA,SS,0
16,31,3,2,TIG,3B,2
14,29,2,4,MRL,SS,2
15,45,0,2,PHL,C,4
4,14,0,0,PHL,SS,2
9,25,3,4,ORI,OF,0
7,28,2,2,BRA,C,2
1,7,2,0,NAT,SS,0
10,11,2,1,MRL,OF,0
18,47,2,17,NAT,CF,1
4,12,0,3,MRL,LF,0
6,19,3,0,NAT,2B,0
0,1,0,0,NAT,SS,1
10,23,0,0,MRL,OF,3
4,23,0,0,NAT,C,2
2,5,0,0,NAT,3B,0
18,50,5,3,TWI,2B,4
0,1,0,0,MRL,OF,0
3,10,0,1,MRL,RF,2
20,43,2,2,NAT,2B,10
15,41,0,1,AST,LF,4
19,39,2,6,TIG,SS,2
