USG%,Opp,Rk,ORtg,ORB%,AST%,GmSc,Age
18.5,BOS,15,63,21.6,13.3,-0.9,30-141
20.2,SEA,33,17,11.5,0.0,-0.6,30-189
17.6,MIA,35,107,0.0,8.2,4.7,30-194
16.4,DET,31,95,9.5,9.1,2.8,30-185
17.4,LAC,14,131,15.6,0.0,4.8,30-138
41.9,CHI,6,0,0.0,0.0,-1.2,30-093
0.0,POR,26, ,0.0,0.0,-0.1,30-170
5.2,HOU,54,193,12.5,0.0,5.1,30-233
30.1,VAN,28,124,26.7,0.0,6.8,30-175
11.8,MIA,37,81,3.4,5.1,6.2,30-197
16.8,PHO,48,158,8.7,21.4,13.0,30-222
0.0,DEN,7, ,0.0,0.0,-0.4,30-094
14.8,CLE,23,81,15.6,0.0,2.4,30-158
11.7,LAC,52,112,14.6,0.0,3.5,30-229
0.0,SAS,27,201,54.3,0.0,1.3,30-173
18.9,VAN,50,145,25.6,6.5,15.0,30-226
18.7,SAS,38,120,16.9,0.0,9.4,30-199
80.8,LAL,4,192,100.0,0.0,8.1,30-089
