2B,Team,CS,3B,HR,BB,SLG
0,TOL,0,0,1,0,.625
0,SWB,0,0,0,2,.304
17,LOU,5,0,4,28,.335
0,SYR,0,0,0,0,.000
13,COL,3,2,9,37,.349
9,ROC,0,0,1,2,.486
10,LOU,1,1,10,29,.413
0,SWB,0,0,0,1,.304
8,LHV,0,0,3,35,.311
24,LHV,3,4,15,35,.485
7,IND,1,0,3,11,.287
14,CHA,0,1,7,24,.400
32,LOU,2,0,25,53,.495
0,BUF,0,0,0,2,.000
1,SYR,0,0,0,1,.333
0,PAW,0,0,0,0,.000
9,PAW,0,0,3,25,.350
9,COL,0,2,3,10,.354
3,LOU,0,0,1,4,.356
32,IND,0,2,11,51,.390
16,COL,3,1,9,27,.443
22,BUF,5,1,6,29,.369
25,ROC,1,0,24,43,.639
21,BUF,4,1,12,37,.433
0,SWB,0,0,0,0,.111
1,BUF,1,0,0,1,.267
10,NOR,1,0,5,17,.368
1,ROC,0,0,1,4,.273
3,TOL,0,0,0,5,.343
1,BUF,0,0,0,0,.375
3,TOL,1,1,4,4,.413
11,SWB,0,2,5,29,.405
13,LOU,1,1,6,31,.374
11,PAW,3,2,2,47,.316
1,LHV,0,0,2,4,.583
1,IND,0,0,0,2,.333
8,LHV,1,0,4,9,.526
13,GWN,2,2,4,27,.392
9,COL,1,0,1,21,.311
4,COL,3,0,1,12,.282
0,CHA,0,0,2,3,.444
0,SWB,0,0,0,1,.118
18,CHA,1,1,15,15,.597
28,CHA,5,1,8,59,.426
27,BUF,4,1,3,44,.385
0,ROC,0,0,0,1,.250
13,CHA,1,0,7,14,.423
17,TOL,1,0,5,19,.390
6,LOU,8,0,1,22,.266
1,LHV,1,0,3,4,.358
9,TOL,2,1,2,14,.352
12,COL,1,0,0,22,.241
14,LOU,3,1,5,26,.317
1,LHV,0,0,1,3,.423
1,NOR,0,0,0,1,.167
4,NOR,0,0,0,4,.278
1,SYR,0,0,0,2,.273
27,TOL,7,0,3,19,.309
5,BUF,1,1,7,14,.510
8,SWB,0,0,5,28,.356
13,ROC,5,2,3,31,.312
0,COL,0,0,0,2,.000
0,GWN,0,0,1,1,.667
19,TOL,5,2,1,35,.308
16,PAW,1,1,10,20,.454
6,SYR,0,0,3,21,.328
17,NOR,1,1,10,30,.421
0,LOU,0,0,0,0,.200
12,SYR,1,1,2,19,.286
4,TOL,5,0,0,12,.215
8,COL,2,1,4,32,.337
9,SWB,0,0,6,21,.383
5,DUR,1,0,1,21,.274
0,ROC,0,0,0,0,.000
7,SYR,2,0,1,22,.281
8,IND,1,0,0,5,.385
3,DUR,2,1,1,11,.600
1,BUF,0,0,0,0,.471
0,NOR,0,0,0,0,--
25,TOL,3,1,17,84,.430
5,SWB,1,0,2,8,.344
6,LOU,0,0,4,16,.333
10,LHV,1,0,6,10,.423
14,GWN,4,1,3,32,.398
20,CHA,7,2,0,29,.296
