GIDP,Player,G,SB,SO,2B,H,SLG,AVG,AB
1,J Urgelles,2,0,2,0,0,0.0,0.0,7
7,J Johnson,112,18,72,8,92,0.312,0.241,381
10,J Whittleman,130,7,97,21,106,0.343,0.227,466
11,S Kleen,126,5,87,24,131,0.382,0.281,466
12,J Baisley,124,6,86,35,139,0.519,0.298,466
1,R Leahy,12,1,7,1,10,0.289,0.263,38
1,M Hollimon,128,19,124,29,125,0.501,0.278,449
1,C Hayes,17,1,8,1,7,0.157,0.137,51
6,B Crabtree,62,3,53,6,48,0.306,0.245,196
7,B Byrne,120,3,88,24,125,0.41,0.286,437
9,M Reed,101,14,82,12,88,0.304,0.252,349
7,M Ferrer,78,3,58,5,61,0.31,0.246,248
5,D Hicks,108,9,42,24,89,0.331,0.237,375
6,W Long,84,8,40,9,49,0.247,0.198,247
1,R Mercado,27,0,23,5,23,0.319,0.245,94
0,A Martinez,22,0,20,1,6,0.109,0.094,64
6,I Gac,54,0,82,8,41,0.356,0.197,208
7,A Garibaldi,95,9,91,11,64,0.331,0.21,305
1,T Schlichting,31,6,23,5,24,0.404,0.242,99
0,L Sanchez,3,0,1,0,4,0.4,0.4,10
7,H Vick,62,2,28,6,34,0.25,0.213,160
0,A Colon,10,0,17,0,3,0.097,0.097,31
2,R Cruz,19,1,30,0,6,0.167,0.111,54
1,O Pena,29,2,25,4,25,0.38,0.25,100
5,F Martinez,117,11,81,25,108,0.382,0.261,414
0,J Guzman,3,1,1,0,1,0.125,0.125,8
2,A Liddi,11,0,8,1,7,0.211,0.184,38
0,R Lilly,22,0,14,4,23,0.5,0.319,72
12,N Walton,128,19,122,15,79,0.246,0.19,415
0,B Schweiger,2,0,2,0,2,0.5,0.5,4
3,B Mosby,86,0,91,15,69,0.412,0.237,291
6,D Ryan,98,3,102,13,79,0.354,0.245,322
8,S Mena,107,1,104,20,92,0.39,0.264,349
4,C Wu,22,1,13,3,15,0.26,0.195,77
2,T Scott,38,0,37,8,32,0.333,0.242,132
11,R Norwood,134,5,106,28,155,0.451,0.307,505
6,C Steiner,38,0,24,5,31,0.285,0.215,144
5,B Martinez,100,6,87,9,80,0.291,0.226,354
4,J Reininger,34,0,38,6,23,0.333,0.219,105
8,M Haske,100,7,46,5,74,0.265,0.239,309
7,B Valichka,65,4,46,12,51,0.367,0.231,221
1,R Roberson,34,3,42,5,31,0.286,0.233,133
2,W Luque,30,1,20,2,22,0.36,0.247,89
0,M Sweeney,2,0,2,0,1,0.571,0.143,7
8,B Taylor,53,2,33,11,40,0.33,0.213,188
0,J Batten,4,1,3,0,2,0.133,0.133,15
0,O Wick,17,0,7,2,10,0.267,0.222,45
0,J Armstrong,49,5,30,5,54,0.31,0.27,200
8,P Ciriaco,128,19,96,15,145,0.32,0.264,550
17,T Hendricks,103,3,56,16,87,0.319,0.23,379
9,C Lopez,99,6,71,10,75,0.275,0.217,345
2,C Cooper,6,0,3,1,7,0.476,0.333,21
0,P Janish,26,0,10,6,39,0.612,0.398,98
3,B Lalli,22,1,11,3,13,0.235,0.191,68
2,A Jamieson,70,3,49,13,57,0.372,0.261,218
3,N Prosise,31,0,26,2,24,0.302,0.226,106
2,J Lobaton,20,0,12,3,17,0.41,0.279,61
12,I Omura,93,1,49,19,103,0.399,0.296,348
6,J Portes,75,8,55,9,62,0.31,0.231,268
0,F Tirado,11,0,10,1,7,0.308,0.269,26
2,C Middleton,80,3,73,14,50,0.263,0.18,278
3,N Hundley,57,1,45,19,59,0.474,0.274,215
3,M Betsill,28,0,19,4,28,0.32,0.28,100
7,A Moore,44,0,38,6,44,0.43,0.267,165
7,R Hudson,111,13,62,18,108,0.365,0.27,400
2,J Salazar,8,0,7,0,6,0.25,0.25,24
8,B Gottier,62,1,52,13,44,0.29,0.213,207
5,E Lis,105,4,83,37,134,0.547,0.326,411
5,M Hamilton,38,0,32,8,36,0.373,0.254,142
3,S Tolleson,47,7,34,8,49,0.392,0.287,171
5,F Curreri,64,1,56,15,59,0.444,0.285,207
8,R Sosa,90,5,52,18,97,0.401,0.29,334
1,D Peterson,64,2,43,6,48,0.279,0.231,208
6,A Van Slyke,63,4,34,10,48,0.27,0.223,215
6,W Crouch,79,0,76,11,64,0.41,0.226,283
7,R Chirinos,126,19,79,30,105,0.383,0.242,433
8,L Valbuena,89,21,44,16,93,0.4,0.286,325
6,C Suarez,89,5,39,25,103,0.411,0.294,350
7,C Tatum,98,3,70,21,95,0.408,0.277,343
0,Y Lasso,5,0,3,1,1,0.2,0.1,10
8,C Simmons,54,0,22,4,39,0.291,0.227,172
