Unif,Player,Pos,Ht,Wt,B-T,Age,Born,Place,Draft Info,High Level,Current Team,Status
-,Marc Barcelo,P,6-3,215,R-R,24,1972-01-10,"Van Nuys,California",MIN: 1993-1-33,AAA,-,-
-,Erik Bennett,P,6-2,205,R-R,27,1968-09-13,"Yreka,California",CAL: 1989-4-95,MLB,-,-
-,Brent Brede,RF-LF,6-4,208,L-L,24,1971-09-13,"New Baden,Illinois",MIN: 1990-5-137,MLB,-,-
-,Mike Durant,C,6-2,200,R-R,26,1969-09-14,"Columbus,Ohio",MIN: 1991-2-46,MLB,-,-
-,Ray Giannelli,3B,6-0,195,L-R,30,1966-02-05,"Brooklyn,New York",TOR: 1988-38-992,MLB,-,-
-,LaTroy Hawkins,P,6-5,204,R-R,23,1972-12-21,"Gary,Indiana",MIN: 1991-7-181,MLB,Toronto Blue Jays,MLB-Active
-,Steve Hazlett,OF,5-11,170,R-R,26,1970-03-30,"Longmont,Colorado",MIN: 1991-20-519,AAA,-,-
-,Denny Hocking,SS-2B,5-10,183,B-R,26,1970-04-02,"Torrance,California",MIN: 1989-52-1311,MLB,-,-
-,Jeff Horn,C,6-1,213,R-R,25,1970-08-23,"Baltimore,Maryland",MIN: 1992-47-1326,AAA,-,-
-,J.J. Johnson,OF,6-0,195,R-R,22,1973-08-31,"Sharon,Connecticut",BOS: 1991-1-37,AAA,-,-
-,Scott Klingenbeck,P,6-2,205,R-R,25,1971-02-03,"Cincinnati,Ohio",BAL: 1992-5-128,MLB,-,-
-,Dom Konieczki,P,6-1,170,R-L,27,1969-06-16,"Lehigh Acres,Florida",UDFA,AAA,-,-
-,Chris Latham,LF-CF,6-0,198,B-R,23,1973-05-26,"Coeur d'Alene,Idaho",LAN: 1991-11-300,MLB,-,-
-,Matt Lawton,RF-LF,5-10,186,L-R,24,1971-11-03,"Gulfport,Mississippi",MIN: 1991-13-337,MLB,-,-
-,Kevin Legault,P,6-1,185,R-R,25,1971-03-05,"Watervliet,New York",MIN: 1992-33-934,AAA,-,-
-,Mark Leonard,LF-RF,6-1,195,L-R,31,1964-08-14,"Mountain View,California",SFN: 1986-29-709,MLB,-,-
-,Rene Lopez,C,6-1,195,R-R,24,1971-12-10,"Downey,California",MIN: 1992-9-262,AAA,-,-
-,Pat Mahomes,P,6-4,212,R-R,25,1970-08-09,"Bryan,Texas",MIN: 1988-6-155,MLB,-,-
-,Mike Milchin,P,6-3,190,L-L,28,1968-02-28,"Knoxville,Tennessee",SLN: 1989-2-36,MLB,-,-
-,Damian Miller,C,6-2,190,R-R,26,1969-10-13,"La Crosse,Wisconsin",MIN: 1990-20-527,MLB,-,-
-,Travis Miller,P,6-3,209,R-L,23,1972-11-02,"Dayton,Ohio",MIN: 1994-1-34,MLB,-,-
-,Mike Misuraca,P,6-0,190,R-R,27,1968-08-21,"Long Beach,California",UDFA,MLB,-,-
-,Joe Norris,P,6-4,215,R-R,25,1970-11-29,"Oswego,South Carolina",MON: 1989-26-668,AAA,-,-
-,Jamie Ogden,1B,6-5,225,L-L,24,1972-01-19,"White Bear Lake,Minnesota",MIN: 1990-3-78,AAA,-,-
-,Jose Parra,P,5-11,175,R-R,23,1972-11-28,"Santiago,Dominican Republic",UDFA,MLB,-,-
-,Tom Quinlan,3B,6-3,200,R-R,28,1968-03-27,"St. Paul,Minnesota",TOR: 1986-27-686,MLB,-,-
-,Brian Raabe,3B-2B,5-9,177,R-R,28,1967-11-05,"New Ulm,Minnesota",MIN: 1990-41-1063,MLB,-,-
-,Mark Redman,P,6-5,220,L-L,22,1974-01-05,"San Diego,California",MIN: 1995-1-13,MLB,-,-
-,Kevin Reimer,LF,6-2,225,L-R,32,1964-06-28,"Macon,Georgia",TEX: 1985-11-265,MLB,-,-
-,Todd Ritchie,P,6-3,222,R-R,24,1971-11-07,"Portsmouth,Virginia",MIN: 1990-1-12,MLB,-,-
-,Brett Roberts,P,6-7,230,R-R,26,1970-03-24,"Portsmouth,Ohio",MIN: 1991-4-103,AAA,-,-
-,Dan Serafini,P,6-1,195,B-L,22,1974-01-25,"San Francisco,California",MIN: 1992-1-26,MLB,-,-
-,Mitch Simons,2B,5-9,172,R-R,27,1968-12-13,"Midwest City,Oklahoma",MON: 1991-23-608,AAA,-,-
-,Phil Stidham,P,6-0,180,R-R,27,1968-11-18,"Tulsa,Oklahoma",DET: 1991-15-401,MLB,-,-
-,Mike Trombley,P,6-2,210,R-R,29,1967-04-14,"Springfield,Massachusetts",MIN: 1989-14-371,MLB,-,-
-,Todd Walker,2B,6-0,181,L-R,23,1973-05-25,"Bakersfield,California",MIN: 1994-1-8,MLB,-,-
-,Scott Watkins,P,6-3,180,L-L,26,1970-05-15,"Tulsa,Oklahoma",MIN: 1992-23-654,MLB,-,-
