Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Lewis Urena,DSL,2,2,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Ynoel Aguero,DSL,67,238,39,72,11,2,1,31,27,5,46,44,0.303,0.418,0.378,0.796
Jair Bogaerts,DSL,47,156,17,45,8,2,2,27,0,0,19,43,0.288,0.387,0.404,0.791
Aly Gonzalez,DSL,36,116,11,36,5,0,1,21,0,0,12,23,0.31,0.374,0.379,0.753
Deiner Lopez,DSL,61,220,43,55,9,4,1,34,17,6,40,48,0.25,0.393,0.341,0.734
Jeremias Pineda,DSL,18,58,5,13,2,2,1,10,4,1,8,25,0.224,0.328,0.379,0.708
Andres Garcia,DSL,69,256,43,64,5,1,0,17,12,16,68,42,0.25,0.417,0.277,0.694
David Sopilka,DSL,53,192,25,50,10,1,1,30,1,2,20,29,0.26,0.329,0.339,0.667
Alixon Suarez,DSL,62,210,35,47,7,0,2,25,0,1,39,45,0.224,0.369,0.286,0.655
Roberto Duncan,DSL,38,78,8,16,3,0,0,11,3,2,17,24,0.205,0.406,0.244,0.649
Robert Del Rosario,DSL,34,127,21,30,6,0,0,21,9,2,23,29,0.236,0.364,0.283,0.647
Aneudis Peralta,DSL,64,230,38,44,8,0,1,28,6,2,51,43,0.191,0.351,0.239,0.59
Cleuluis Rondon,DSL,62,205,39,35,6,1,2,27,14,1,43,50,0.171,0.348,0.239,0.588
Anthony Amaya,DSL,47,137,26,25,8,1,0,13,2,2,19,34,0.182,0.307,0.255,0.562
Juan Ugas,DSL,18,61,5,10,2,1,0,5,0,0,9,17,0.164,0.292,0.23,0.521
