AB,Team,SF,AVG,CS,HR
569,PHI,5,0.223,0,23
56,COL,3,0.232,0,2
47,PHI,0,0.277,0,1
288,LAD,2,0.34,1,7
91,WSH,0,0.231,0,4
397,PHI,1,0.252,1,10
63,COL,0,0.317,0,4
21,LAD,0,0.048,0,0
613,WSH,5,0.287,3,21
214,WSH,4,0.28,0,5
403,ARI,4,0.27,1,5
67,COL,0,0.343,0,0
595,STL,9,0.272,3,8
31,COL,0,0.226,0,2
48,CIN,0,0.188,0,0
73,SF,0,0.192,0,3
502,COL,8,0.319,3,17
398,PIT,0,0.231,3,18
22,ARI,0,0.273,0,2
60,LAD,0,0.217,1,0
51,CIN,0,0.176,0,0
524,CHC,4,0.286,4,32
535,NYM,5,0.269,5,8
9,MIL,0,0.111,0,0
121,CHC,1,0.231,0,3
386,LAD,2,0.311,1,9
406,ARI,3,0.3,3,19
591,LAD,11,0.276,1,27
267,SD,3,0.24,1,7
