SO,SLG,R,AB,POS
28,0.22,6,109,SS
23,0.349,16,172,SS
3,0.5,8,24,2B
30,0.379,38,240,SS
3,0.286,3,14,2B
4,0.579,2,19,SS
14,0.5,21,104,2B
69,0.403,66,526,2B
0,1.2,1,5,SS
70,0.384,50,354,SS
42,0.276,9,105,SS
70,0.39,65,374,SS
36,0.397,54,343,2B
39,0.412,19,165,2B
12,0.373,5,67,SS
4,0.333,4,33,2B
43,0.407,33,253,2B
74,0.524,63,397,2B
47,0.279,25,265,2B
15,0.238,5,42,2B
7,0.39,7,41,SS
15,0.523,9,65,2B
54,0.359,27,270,2B
111,0.45,57,318,SS
22,0.363,19,160,SS
59,0.371,44,321,2B
37,0.433,42,268,2B
5,0.429,7,84,2B
24,0.438,27,144,SS
18,0.596,26,104,SS
0,0.8,2,5,SS
26,0.509,20,110,2B
