Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Manuel Margot,DSL,20,74,13,26,4,1,1,9,9,6,13,4,0.351,0.444,0.473,0.917
Andres Garcia,DSL,20,75,12,12,2,0,0,6,5,2,12,9,0.16,0.267,0.187,0.453
Robert Del Rosario,DSL,18,68,9,17,3,0,0,10,4,0,9,15,0.25,0.338,0.294,0.632
Anthony Amaya,DSL,20,65,13,20,3,0,1,6,3,2,12,12,0.308,0.432,0.4,0.832
Ricardo Andujar,DSL,20,69,10,17,1,3,0,8,2,2,15,13,0.246,0.391,0.348,0.739
Roberto Duncan,DSL,19,64,11,15,1,1,0,10,2,0,10,18,0.234,0.359,0.281,0.64
Junior Estrella,DSL,6,23,2,6,1,0,0,3,2,1,2,9,0.261,0.32,0.304,0.624
Alixon Suarez,DSL,18,63,7,16,4,1,1,9,1,1,9,12,0.254,0.385,0.397,0.781
Gregori Titts,DSL,5,11,3,1,0,0,0,0,1,0,2,1,0.091,0.286,0.091,0.377
Aneudis Peralta,DSL,20,69,12,21,5,1,0,13,0,0,9,14,0.304,0.39,0.406,0.796
Osvaldo Almengo,DSL,8,18,2,5,0,0,0,6,0,0,1,7,0.278,0.381,0.278,0.659
Pablo Urena,DSL,9,29,1,3,1,0,0,2,0,0,3,9,0.103,0.212,0.138,0.35
Kevin Segovia,DSL,3,9,0,1,0,0,0,1,0,0,0,3,0.111,0.111,0.111,0.222
