G,DRtg,ORtg,ORB%,GS,Opp,eFG%
73,105,210,8.2,1,LAC,1.000
68,102,34,10.9,1,CHH,.125
36,101,72,22.4,0,UTA,.667
1,94,36,11.5,0,TOR,.000
62,106,0,0.0,0,NJN,.000
82,106,82,36.3,1,SAS,.333
24,101,0,0.0,0,SAC,.000
46,100,87,4.6,1,POR,.500
10,87,58,0.0,0,DEN,.000
72,122,97,11.5,1,LAL,1.000
4,115,111,11.8,0,SEA,.667
31,97,213,0.0,0,BOS, 
60,120,102,8.9,0,HOU,.333
43,115,91,17.0,1,NYK,.417
11,101,108,19.0,0,LAL,.400
76,96,88,0.0,1,PHI,.400
51,113,97,0.0,1,MIN,1.000
56,101,114,0.0,0,CHI,1.000
9,94,155,9.8,0,PHO,1.000
83,79,126,9.8,1,DAL,.750
66,109,72,5.2,1,ORL,.333
42,98,207,16.3,1,MIL,1.000
14,100,208,6.7,0,MEM,1.000
5,115,60,6.3,0,SAS,1.000
47,107,128,10.3,1,GSW,.500
37,119,125,5.6,1,MEM,.500
2,134,132,14.5,0,IND,.500
74,97,91,6.9,1,HOU,.000
52,107,108,12.1,1,WAS,.556
21,111,104,6.2,0,NJN,.500
65,105,102,0.0,0,MIA,.500
22,102,131,9.6,0,BOS,.333
63,89,147,11.8,0,MIN,.857
50,79,101,4.0,1,DET,.800
41,101,110,10.3,1,MIN,.500
35,89,114,9.5,0,SAC,.500
64,106, ,0.0,0,CHH, 
53,116,95,8.1,1,DAL,.429
71,102,113,9.6,1,CLE,.400
78,127,115,5.4,1,MIN,.500
80,112,79,0.0,1,UTA,1.000
15,134,117,5.4,0,DAL,1.000
