Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
L Castillo,NYM,2B,0.245,87,298,46,73,7,1,3,28,50,35,17,2,7,2,13,0.355,0.305,0.66
J Castro,CIN,SS,0.0,7,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0.091,0.0,0.091
C Counsell,MIL,SS,0.226,110,248,31,56,14,1,1,14,46,42,3,1,1,2,5,0.355,0.302,0.658
R Durham,MIL,2B,0.289,128,370,64,107,35,0,6,45,53,72,8,4,0,1,7,0.38,0.432,0.813
D Easley,NYM,2B,0.269,113,316,33,85,10,2,6,44,19,38,0,0,2,3,15,0.322,0.37,0.692
N Garciaparra,LAD,SS,0.264,55,163,24,43,9,0,8,28,15,11,1,1,0,2,12,0.326,0.466,0.792
J Kent,LAD,2B,0.28,121,440,42,123,23,1,12,59,25,52,0,1,0,2,13,0.327,0.418,0.745
M Loretta,HOU,2B,0.28,101,261,27,73,15,0,4,38,29,30,0,0,0,5,9,0.35,0.383,0.733
A Nunez,NYM,2B,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
T Perez,HOU,SS,0.2,8,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0.2,0.2,0.4
M Tejada,HOU,SS,0.283,158,632,92,179,38,3,13,66,24,72,7,7,1,3,32,0.314,0.415,0.729
O Vizquel,SF,SS,0.222,92,266,24,59,10,1,0,23,24,29,5,4,7,3,4,0.283,0.267,0.55
R Martinez,NYM,2B,0.25,7,16,0,4,3,0,0,3,2,3,0,0,0,0,1,0.333,0.438,0.771
M DeRosa,CHC,2B,0.285,149,505,103,144,30,3,21,87,69,106,6,0,2,8,9,0.376,0.481,0.857
J Hairston,CIN,SS,0.326,80,261,47,85,20,2,6,36,23,36,15,3,8,2,0,0.384,0.487,0.871
R Belliard,WSH,2B,0.287,96,296,37,85,22,0,11,46,37,58,3,2,1,0,6,0.372,0.473,0.845
C Guzman,WSH,SS,0.316,138,579,77,183,35,5,9,55,23,57,6,5,1,4,10,0.345,0.44,0.786
P Ozuna,LAD,2B,0.219,36,32,6,7,0,1,1,3,1,5,1,1,0,0,1,0.242,0.375,0.617
A Kennedy,STL,2B,0.28,115,339,42,95,17,4,2,36,21,43,7,1,0,4,13,0.321,0.372,0.692
D Newhan,HOU,2B,0.26,64,104,11,27,5,2,2,12,6,28,1,0,0,1,3,0.297,0.404,0.701
D Eckstein,ARI,SS,0.219,18,64,5,14,3,0,1,4,7,5,0,0,0,1,1,0.301,0.313,0.614
L Rivas,PIT,SS,0.22,79,205,25,45,6,2,3,20,13,27,3,2,2,1,7,0.268,0.312,0.58
J Rollins,PHI,SS,0.277,137,556,76,154,38,9,11,59,58,55,47,3,3,3,11,0.349,0.437,0.786
R Furcal,LAD,SS,0.357,36,143,34,51,12,2,5,16,20,17,8,3,0,0,3,0.439,0.573,1.012
C Izturis,STL,SS,0.263,135,414,50,109,10,3,1,24,29,26,24,6,3,2,6,0.319,0.309,0.628
A Ojeda,ARI,2B,0.242,105,231,27,56,9,2,0,17,26,24,0,0,4,1,6,0.343,0.299,0.642
J Wilson,PIT,SS,0.272,87,305,24,83,18,1,1,22,13,27,2,2,6,1,6,0.312,0.348,0.659
C Utley,PHI,2B,0.292,159,607,113,177,41,4,33,104,64,104,14,2,1,8,9,0.38,0.535,0.915
A Berroa,LAD,SS,0.23,84,226,26,52,13,1,1,16,20,41,0,0,6,0,13,0.304,0.31,0.614
A Amezaga,FLA,2B,0.264,125,311,41,82,13,5,3,32,19,47,8,2,4,0,6,0.312,0.367,0.679
O Hudson,ARI,2B,0.305,107,407,54,124,29,3,8,41,40,62,4,1,3,3,18,0.367,0.45,0.817
F Sanchez,PIT,2B,0.271,145,569,75,154,26,2,9,52,21,63,0,1,8,6,13,0.298,0.371,0.669
B Phillips,CIN,2B,0.261,141,559,80,146,24,7,21,78,39,93,23,10,0,6,13,0.312,0.442,0.754
J Reyes,NYM,SS,0.297,159,688,113,204,37,19,16,68,66,82,56,15,5,3,9,0.358,0.475,0.833
A Miles,STL,2B,0.317,134,379,49,120,15,2,4,31,23,37,3,3,5,1,13,0.355,0.398,0.753
C Barmes,COL,2B,0.29,107,393,47,114,25,6,11,44,17,69,13,4,4,1,9,0.322,0.468,0.79
J Baker,COL,2B,0.268,104,299,55,80,22,1,12,48,26,85,4,0,1,6,5,0.322,0.468,0.791
K Greene,SD,SS,0.213,105,389,30,83,15,2,10,35,22,100,5,1,0,7,7,0.26,0.339,0.599
L Rodriguez,SD,SS,0.287,64,202,22,58,11,1,0,12,13,13,1,1,7,3,9,0.326,0.351,0.677
C Burke,ARI,2B,0.194,86,165,20,32,5,1,2,12,27,33,5,0,2,3,2,0.31,0.273,0.582
J Hardy,MIL,SS,0.283,146,569,78,161,31,4,24,74,52,98,2,1,5,2,18,0.343,0.478,0.821
E Bruntlett,PHI,2B,0.217,120,212,37,46,9,1,2,15,21,35,9,2,2,0,7,0.297,0.297,0.594
R Weeks,MIL,2B,0.234,129,475,89,111,22,7,14,46,66,115,19,5,1,4,5,0.342,0.398,0.74
K Matsui,HOU,2B,0.293,96,375,58,110,26,3,6,33,37,53,20,5,7,3,3,0.354,0.427,0.781
R Cedeno,CHC,2B,0.269,99,216,36,58,12,0,2,28,18,41,4,1,1,0,6,0.328,0.352,0.68
K Johnson,ATL,2B,0.287,150,547,86,157,39,6,12,69,52,113,11,6,9,4,3,0.349,0.446,0.795
I Ochoa,SF,SS,0.2,47,120,7,24,8,0,0,3,4,28,0,1,7,0,3,0.244,0.267,0.511
M Fontenot,CHC,2B,0.305,119,243,42,74,22,1,9,40,34,51,2,0,3,1,1,0.395,0.514,0.909
J Keppinger,CIN,SS,0.266,121,459,45,122,24,2,3,43,30,24,3,1,6,5,14,0.31,0.346,0.657
J Dillon,MIL,2B,0.213,56,75,13,16,3,0,1,6,13,21,1,0,1,0,1,0.337,0.293,0.63
J Nix,COL,2B,0.125,22,56,2,7,2,0,0,2,7,17,1,0,1,0,1,0.234,0.161,0.395
H Ramirez,FLA,SS,0.301,153,589,125,177,34,4,33,67,92,122,35,12,0,4,5,0.4,0.54,0.94
P Orr,WSH,2B,0.253,49,75,10,19,2,1,0,7,2,16,1,0,1,0,0,0.282,0.307,0.589
A Hernandez,WSH,SS,0.333,28,81,11,27,4,0,0,17,10,8,0,0,0,0,1,0.407,0.383,0.789
R Andino,FLA,SS,0.206,44,63,7,13,2,0,2,9,4,23,0,0,1,0,1,0.254,0.333,0.587
T Iguchi,PHI,2B,0.232,85,310,29,72,15,1,2,24,26,75,8,1,1,0,11,0.292,0.306,0.598
S Schumaker,STL,2B,0.302,153,540,87,163,22,5,8,46,47,60,8,2,4,1,19,0.359,0.406,0.765
L Maza,LAD,SS,0.228,45,79,7,18,1,0,1,4,5,11,0,0,3,0,5,0.282,0.278,0.561
O Quintanilla,COL,2B,0.238,81,210,28,50,17,0,2,15,15,46,0,0,8,1,3,0.288,0.348,0.635
K Frandsen,SF,2B,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
R Theriot,CHC,2B,0.307,149,580,85,178,19,4,1,38,73,58,22,13,4,1,19,0.387,0.359,0.745
B Bixler,PIT,SS,0.157,50,108,16,17,2,1,0,2,6,36,1,0,2,0,1,0.229,0.194,0.423
C Stansberry,SD,2B,0.375,12,16,4,6,1,0,0,2,2,3,0,0,0,0,0,0.444,0.438,0.882
A Escobar,MIL,SS,0.5,9,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,1.0
M Prado,ATL,2B,0.32,78,228,36,73,18,4,2,33,21,29,3,1,2,2,3,0.377,0.461,0.838
E Maysonet,HOU,SS,0.143,7,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0.143,0.143,0.286
D Bernier,COL,2B,0.0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
C Crabbe,SD,2B,0.176,21,34,4,6,1,0,0,2,4,6,1,0,0,0,0,0.282,0.206,0.488
B Lillibridge,ATL,SS,0.2,29,80,9,16,6,1,1,8,3,23,2,0,1,0,0,0.238,0.338,0.576
S Drew,ARI,SS,0.291,152,611,91,178,44,11,21,67,41,109,3,3,3,7,5,0.333,0.502,0.836
E Gonzalez,SD,2B,0.274,111,325,38,89,15,0,7,33,25,76,1,3,0,1,11,0.329,0.385,0.713
T Tulowitzki,COL,SS,0.263,101,377,48,99,24,2,8,46,38,56,1,6,2,2,16,0.332,0.401,0.732
M Antonelli,SD,2B,0.193,21,57,6,11,2,0,1,3,5,11,0,0,0,0,1,0.292,0.281,0.573
