2B,CS,GIDP,Player,OBP,3B,BB,RBI
9,2,1,C Custodio,0.433,1,22,19
5,1,0,L Martone,0.385,0,8,2
5,5,1,W Schill,0.326,2,16,16
1,6,1,A Mejia,0.291,0,14,11
0,0,0,T Muecklisch,0.167,0,1,0
6,3,1,J Fernandez,0.318,3,14,15
5,1,0,L Robbins,0.311,2,14,16
2,0,0,C Leyva,0.412,1,2,7
0,1,6,D Williams,0.216,0,8,7
0,0,0,R Dent,0.182,0,1,1
4,3,2,J Morillo,0.294,3,17,12
0,0,1,A Ponce,0.457,0,6,3
9,1,1,D Adams,0.469,0,5,11
7,10,2,J Vinicio,0.337,5,7,18
0,0,0,C Izturis,0.0,0,0,0
0,1,1,C Hu,0.298,0,8,1
8,1,1,J Carvajal,0.329,3,16,12
1,0,0,P Mooney,0.385,1,2,1
0,0,1,R Goins,0.0,0,0,0
1,0,1,C Burke,0.263,0,10,5
3,0,2,J Myers,0.358,1,12,11
1,3,1,A Tavarez,0.301,2,8,8
1,0,1,G Gonzalez,0.333,0,7,5
6,1,4,C De Los Santos,0.214,3,3,11
6,8,1,Y Hernandez,0.369,1,15,17
4,3,1,L Mateo,0.345,1,12,11
1,1,1,E De Los Santos,0.143,0,0,1
0,0,0,N Rios,0.6,0,0,0
9,2,4,S Tuivailala,0.331,0,12,15
1,3,0,B Martin,0.386,0,7,3
8,4,4,J Polanco,0.319,3,15,16
1,0,0,B Loy,0.474,0,4,3
9,2,2,L Cortez,0.339,1,7,6
4,3,0,W Difo,0.343,3,10,8
4,0,2,L Ortiz,0.343,0,20,9
3,2,2,T Winegardner,0.241,1,11,11
2,1,1,J Rodriguez,0.256,0,4,10
0,0,1,M Abraham,0.25,0,3,4
3,1,0,J Eierman,0.328,2,5,5
8,0,1,Y Mejia,0.357,0,3,25
4,0,1,J Gamboa,0.435,0,9,3
