ORB%,BLK%,USG%,TRB%
16.0,11.3,19.4,21.2
16.0,11.3,10.7,14.8
0.0,2.9,8.1,4.9
18.2,0.0,11.9,15.0
14.7,5.2,20.5,13.8
6.3,2.1,9.5,13.1
6.3,4.5,4.3,6.6
0.0,7.7,8.4,0.0
13.2,13.0,16.0,13.0
0.0,9.2,7.8,8.0
6.0,0.0,19.7,13.1
6.9,7.4,7.7,15.9
3.5,0.0,4.2,8.4
11.1,2.2,11.9,12.5
0.0,10.1,9.9,4.1
3.5,5.9,12.3,15.6
0.0,3.7,11.3,4.6
11.2,4.8,5.9,12.1
5.8,0.0,2.2,12.1
0.0,11.1,6.7,9.4
3.8,6.9,9.3,1.9
14.6,9.5,17.9,14.8
16.1,0.0,14.4,15.4
3.3,10.3,5.7,16.6
5.1,7.0,9.9,10.9
4.8,3.8,5.8,16.3
4.7,14.8,8.1,14.5
13.8,10.1,13.5,11.6
12.3,8.0,12.6,8.2
8.0,11.0,8.5,13.7
7.0,0.0,5.4,21.2
9.2,7.7,14.7,12.1
16.3,6.1,13.3,25.7
42.1,20.5,7.1,18.6
4.7,3.4,6.4,18.8
20.1,8.8,11.2,15.8
7.5,4.7,6.9,11.8
0.0,10.5,5.2,12.8
8.3,3.3,13.3,11.9
26.8,2.6,14.3,29.5
3.1,7.0,5.8,11.9
16.9,4.9,11.4,22.4
0.0,10.7,0.0,0.0
6.1,12.0,2.8,10.6
15.4,0.0,19.6,12.8
4.6,2.8,8.5,9.3
