eFG%,TOV%,MP,GS,Age,STL%,BLK%
1.000,22.2,19:00,0,26-255,2.6,0.0
.750,0.0,7:00,0,26-164,7.0,0.0
.000,0.0,3:00,0,26-244,0.0,0.0
.467,5.9,38:00,0,26-219,1.5,3.4
.500,0.0,14:00,0,26-185,3.7,0.0
.333,25.0,6:00,0,26-229,0.0,0.0
1.000,50.0,6:00,0,26-199,9.5,14.5
.333,0.0,9:00,0,26-231,0.0,8.2
.333,20.5,7:00,0,26-258,0.0,0.0
 , ,2:00,0,26-181,0.0,0.0
.000,0.0,3:00,0,26-169,0.0,0.0
 , ,4:00,0,26-192,0.0,17.1
.000,26.6,8:00,0,26-243,0.0,0.0
.667,0.0,9:00,0,26-215,0.0,0.0
1.000,0.0,20:00,0,26-264,2.9,0.0
.000,0.0,13:00,0,26-177,3.8,0.0
.000,0.0,4:00,0,26-205,0.0,0.0
.625,17.0,16:00,0,26-194,3.2,0.0
1.000,61.5,11:00,0,26-159,0.0,6.3
1.000,0.0,4:00,0,26-253,0.0,0.0
.500,20.0,14:00,0,26-307,7.0,0.0
.625,33.3,12:00,0,26-271,8.5,0.0
.500,0.0,8:00,0,26-173,6.1,0.0
 , ,1:00,0,26-241,0.0,0.0
.682,7.3,18:00,0,26-167,0.0,0.0
.625,18.4,28:00,0,26-221,0.0,3.5
.563,0.0,15:00,0,26-268,10.7,4.3
.000,28.6,19:00,0,26-305,2.4,0.0
.500,0.0,22:00,0,26-308,0.0,0.0
1.000,33.3,13:00,0,26-209,0.0,0.0
 , ,7:00,0,26-226,0.0,0.0
.000,25.8,12:00,0,26-201,0.0,0.0
.000,0.0,2:00,0,26-174,0.0,0.0
