col6,col2,col17,col14,col12,col15,col1
лице,veidas,лице,tvár; obličaj,wobličo,obraz; obličje,face
страх,baimė,страх,strach,strach,strah,fear
сир,sūris,сир,syr,twarožk,sir,cheese
попіл,pelenai,пепео,popol,popjeł,pepel,ash(es)
ворог,priešas,непријатељ,nepriateľ,njepřećel,sovražnik,enemy
музика,muzika,музика,hudba,hudźba,godba; glasba,music
повітря,oras,ваздух,vzduch; povetrie,powětr,zrak,air
пустеля,dykuma,пустиња,púšť,pusćina,pustinja,desert
човен,valtis,чамац; чун,čln,čołm; łódź,čoln,boat
бджола,bitė,пчела,včela,pčoła,čebela,bee
син,sūnus,син,syn,syn,sin,son
кінь,arklys; žirgas,коњ,kôň,kóń,konj,horse
кава,kava,кафа,káva,kofej,kava,coffee
вишня,trešnė; vyšnia,трешња; вишња,čerešňa,třěšnja; wišnja,češnja,cherry
ukr,lit,srp,slk,hsb,slv,eng
вода,vanduo,вода,voda,woda,voda,water
ukr,lit,srp,slk,hsb,slv,eng
горох,žirnis,грашак,hrach,hroch,grah,pea
весна,pavasaris,пролеће,jar,nalěćo,pomlad,spring(time)
учора; вчора,vakar,јуче,včera,wčera,včeraj,yesterday
вівця,avis,овца,ovca,wowca,ovca,sheep
брат,brolis,брат,brat,bratr,brat,brother
молодий,jaunas,млад,mladý,młody,mlad,young
ukr,lit,srp,slk,hsb,slv,eng
сестра,sesuo,сестра,sestra,sotra,sestra,sister
сова,pelėda,сова,sova,sowa,sova,owl
голка,adata,игла,ihla,jehła,igla,needle
тюльпан,tulpė,лала,tulipán,tulpa,tulipan,tulip
сторінка,puslapis,страница,strana,strona,stran,page
пшениця,kviečiai,пшеница,pšenica,pšeńca,pšenica,wheat
зелений,žalias,зелен,zelený,zeleny,zelen,green
молоко,pienas,млеко,mlieko,mloko,mleko,milk
пісок,smėlis; smiltis,песак,piesok,pěsk,pesek,sand
секунда,sekundė,секунда,sekunda,sekunda,sekunda,second
вухо,ausis,уво,ucho,wucho,uho,ear
цибуля,svogūnas,лук,cibuľa,cybla,čebula,onion
голос,balsas,глас,hlas,hłós,glas,voice
сокира,kirvis,секира,sekera,sekera,sekira,axe
яйце,kiaušinis,јаје,vajce,jejo,jajce,egg
шовк,šilkas,свила,hodváb,žida,svila,silk
релігія,religija,религија,náboženstvo,nabožina,religija,religion
голуб,balandis; karvelis,голуб,holub,hołb,golob,pigeon; dove
острів,sala,острво,ostrov,kupa,otok,island
планета,planeta,планета,obežnica; planéta,planet,planeta,planet
тварина,gyvūnas; gyvulys,животиња,zviera,zwěrjo,žival,animal
борошно; мука,miltai,брашно,múka,muka,moka,flour
дах,stogas,кров,strecha,třěcha,streha,roof
ukr,lit,srp,slk,hsb,slv,eng
вино,vynas,вино,víno,wino,vino,wine
народ,tauta,народ,národ; ľud,lud; narod,narod,people
нирка,inkstas,бубрег,oblička; ľadvina,jěrcheń,ledvica,kidney
метелик,drugelis; drugys; plaštakė,лептир,motýľ,mjetel,metulj,butterfly
губа,lūpa,усна,pera; pysk,huba,ustnica,lip
ангел,angelas,анђео,anjel,jandźel,angel,angel
свиня,kiaulė,свиња,sviňa,swinjo,svinja; prašič,pig
ніж,peilis,нож,nôž,nóž,nož,knife
ukr,lit,srp,slk,hsb,slv,eng
сьогодні,šiandien,данас,dnes,dźensa,danes,today
ріка,upė,река,rieka,rěka,reka,river
людина; мужчина,vyras,мушкарац,muž,muž,mož,man
сталь,plienas,челик,oceľ,wocl,jeklo,steel
стіл,stalas,сто,stôl,blido,miza,table
бик,bulius,бик,býk,byk,bik,bull
гора,kalnas,гора; планина,hora,hora,gora,mountain
життя,gyvenimas,живот,život,žiwjenje,življenje,life
кість,kaulas,кост,kosť,kósć,kost,bone
рука,ranka,рука,rameno,ruka,roka,arm
корова,karvė,крава,krava,kruwa,krava,cow
птах,paukštis,птица,vták,ptačk; ptak,ptica; ptač,bird
свічка,žvakė,свећа,sviečka; svieca,swěčka,sveča,candle
дім,namas,дом; кућа,dom,dom,hiša; dom,house
місто,miestas,град; варош,mesto,město,mesto,city; town
ukr,lit,srp,slk,hsb,slv,eng
дитина,vaikas,дете,dieťa; decko,dźěćo,otrok; dete,child
яблуко,obuolys,јабука,jablko,jabłuko,jabolko,apple
питання,klausimas,питање,otázka,prašenje,vprašanje,question
середина,vidurys,средина,stred,srjedźizna,sreda; sredina,middle
отрута,nuodai,отров,jed,jěd,strup,poison
ukr,lit,srp,slk,hsb,slv,eng
щока,skruostas; žandas,образ,líce,lico,lice; čeljust,cheek
бог,dievas,бог,boh,bóh,bog,god
мідь,varis,бакар,meď,kopor,baker,copper
постіль; ліжко,lova,кревет; постеља,posteľ; lôžko,łožo,postelja,bed
картопля,bulvė,кромпир,zemiak,běrna,krompir,potato
погода,oras,време,počasie,wjedro,vreme,weather
буря,audra; vėtra,олуја,búrka,wichor,vihar,storm
старий,senas,стар,starý,stary,star,old (not young)
ми,mes,ми,my,my,mi,we
сніг,sniegas,снег,sneh,sněh,sneg,snow
блоха,blusa,бува,blcha,tcha,bolha,flea
вогонь,ugnis,огањ,oheň,woheń,ogenj,fire
вечір,vakaras,вече,večer,wječor,večer,evening
буква; літера,raidė,слово,písmeno; litera,pismik,črka,letter (alphabet)
лев,liūtas,лав,lev,law,lev,lion
день,diena,дан,deň,dźeń,dan,day
ukr,lit,srp,slk,hsb,slv,eng
риба,žuvis,риба,ryba,ryba,riba,fish
осінь,ruduo,јесен,jeseň,nazyma,jesen,autumn; fall
зуб,dantis,зуб,zub,zub,zob,tooth
коза,ožka,коза,koza,koza,koza,goat
червоний,raudonas,црвен,červený,čerwjeny,rdeč,red
вікно,langas,прозор,oblok; okno,wokno,okno,window
ukr,lit,srp,slk,hsb,slv,eng
ячмінь,miežiai,јечам,jačmeň,ječmjeń,ječmen,barley
капля; крапля,lašas,кап,kvapka,kapka; krjepka,kaplja,drop
тиждень,savaitė,седмица; недеља,týždeň,tydźeń,teden,week
залізо,geležis,гвожђе,železo,železo,železo,iron
ukr,lit,srp,slk,hsb,slv,eng
чорний,juodas,црн,čierny,čorny,črn,black
воша,utėlė,вашка,voš,woš,uš,louse
мурашка,skruzdė; skruzdėlė,мрав,mravec,mrowja,mravlja,ant
стріла,strėlė,стрела,šíp; strela,kłok; šip,strelica,arrow
правда; істина,tiesa,истина,pravda,wěrnosć,resnica,truth
кімната,kambarys,соба,izba,stwa,soba,room
осел,asilas,магарац,somár; osol,wosoł,osel,donkey; ass
сіль,druska,со,soľ,sól,sol,salt
молитва,malda,молитва,modlitba,modlitwa; paćer,molitev,prayer
великий,didelis,велик,veľký,wulki,velik,big
пес; собака,šuo,пас,pes,pos; psyk,pes,dog
верблюд,kupranugaris,дева; камила,ťava,kamel,kamela; velblod,camel
ukr,lit,srp,slk,hsb,slv,eng
квітка,gėlė,цвет,kvet; kvetina,kwětka,cvetica,flower
вежа,bokštas,кула; торањ,veža,wěža,stolp,tower
дерево,medis,дрво,strom,štom,drevo,tree
слово,žodis,реч,slovo,słowo,beseda,word
мавпа,beždžionė,мајмун,opica,wopica,opica,monkey; ape
язик,liežuvis,језик,jazyk,jazyk,jezik,tongue
жаба,varlė,жаба,žaba,žaba,žaba,frog
тигр,tigras,тигар,tiger,tiger,tiger,tiger
світ,pasaulis,свет,svet,swět,svet,world
