d/s,s,ta,m,Rk,sa/s,pct
1.48,109,50,29,7,0.48,0.32
3.57,113,980,30,1,0.18,0.28
0.22,76,235,26,14,0.0,0.038
1.23,73,14,19,41,0.19,0.5
0.16,79,416,21,24,0.0,0.195
1.76,66,27,19,41,0.32,0.222
2.18,113,633,30,1,0.42,0.235
2.83,82,35,21,24,0.4,0.114
1.06,89,496,27,11,0.3,0.185
0.49,74,540,19,41,0.04,0.204
0.25,57,226,20,33,0.0,0.066
1.38,74,24,19,41,0.18,0.167
0.79,75,257,22,17,0.09,0.105
2.24,72,47,21,24,0.29,0.064
2.12,81,100,21,24,0.22,0.03
1.04,98,57,29,7,0.41,0.088
3.94,88,81,26,14,0.16,-0.062
0.33,57,244,20,33,0.09,0.107
0.36,107,472,30,1,0.01,0.153
0.41,113,490,30,1,0.09,0.241
0.49,81,552,21,24,0.0,0.19
0.73,86,602,28,10,0.07,0.151
0.73,56,129,19,41,0.13,0.039
4.18,113,34,30,1,0.23,0.029
5.6,68,21,19,41,0.16,-0.048
0.71,78,660,20,33,0.17,0.136
2.88,111,914,30,1,0.54,0.158
2.41,83,52,27,11,0.23,-0.058
2.44,78,114,24,16,0.22,0.158
0.28,109,270,29,7,0.01,0.159
