ORtg,eFG%,Age,AST%,TOV%,TRB%,Opp,DRtg
119,1.000,32-210,0.0,33.3,13.2,SAS,115
135,.667,32-266,33.0,0.0,11.5,DAL,93
107,1.000,32-227,0.0,33.3,0.0,DAL,105
32,.000,32-297,0.0,50.0,23.3,IND,104
123,.000,32-293,0.0,0.0,7.8,PHI,90
 , ,32-220,0.0, ,0.0,SEA,125
0,.000,32-251,0.0,0.0,0.0,SEA,104
 , ,32-288,0.0, ,19.0,BOS,110
202, ,32-326,16.3, ,17.8,PHO,111
0, ,32-290,0.0,100.0,5.7,ORL,125
38, ,32-295,14.6,100.0,19.6,GSW,62
0, ,32-254,0.0,100.0,16.3,PHI,111
57,.000,32-281,12.3,0.0,14.3,DET,115
74,.250,32-165,8.3,0.0,10.3,MIL,109
0,.000,32-223,0.0,50.0,3.7,POR,113
201,1.000,32-315,0.0,0.0,30.8,HOU,130
0, ,32-177,0.0,100.0,12.5,LAC,102
69, ,32-303,17.1,0.0,6.5,MIL,110
25,.000,32-167,19.0,0.0,0.0,IND,112
202,1.000,32-224,0.0,0.0,8.6,NYK,108
50,.000,32-169,14.6,50.0,22.0,DET,98
 , ,32-216,0.0, ,0.0,SAC,134
120,.500,32-213,0.0,0.0,0.0,SEA,126
200,1.000,32-322,0.0,0.0,15.8,DAL,108
0,.000,32-192,0.0,0.0,0.0,CHH,106
130,1.000,32-247,19.1,33.3,9.1,SAC,99
 , ,32-305,0.0, ,8.3,MIN,106
73,.000,32-255,0.0,0.0,7.2,WSB,112
150,.000,32-276,17.1,0.0,6.0,NJN,120
200,1.000,32-286,0.0,0.0,16.8,MIN,109
200,1.000,32-181,0.0,0.0,7.5,HOU,109
67,.000,32-313,0.0,0.0,0.0,GSW,109
 , ,32-257,0.0, ,4.4,MIA,107
83,.500,32-272,9.0,50.0,10.8,LAL,121
146,.000,32-164,12.5,0.0,14.7,CHI,119
 , ,32-299,0.0, ,4.3,UTA,99
 , ,32-241,0.0, ,0.0,CHI,113
