dWAR,RAR,Acquired,WAA,Rpos,Rbaser,waaWL%,oRAR,G,Rrep
0.0,0,Waivers,0.0,0,0,.501,0,8,0
0.1,0,Traded,0.0,0,0,.501,0,69,0
0.0,0,Amateur Draft,0.0,0,0,.501,0,48,0
0.8,13,Free Agency,0.7,-0,0,.510,5,66,6
0.0,0,Amateur Free Agent,0.0,0,0,.500,0,33,0
-1.3,26,Free Agency,0.7,-8,3,.505,31,128,19
0.1,-0,Free Agency,-0.1,0,1,.483,-2,8,1
0.0,-0,Traded,-0.0,0,0,.499,-0,12,0
-2.4,32,Traded,0.7,8,1,.504,64,159,25
0.0,1,Free Agency,0.1,1,-0,.504,1,20,0
0.8,7,Amateur Draft,-0.2,1,1,.497,1,63,9
0.1,0,Free Agency,0.0,0,0,.501,0,64,0
-0.5,-5,Traded,-1.2,-4,0,.473,-4,43,6
0.0,0,Free Agency,0.0,0,0,.501,0,30,0
-2.2,17,Traded,-0.7,4,4,.495,43,156,25
0.0,0,Amateur Draft,0.0,0,0,.500,0,18,0
0.0,0,Amateur Draft,0.0,0,0,.501,0,8,0
0.5,7,Free Agency,-0.6,-3,-0,.493,-1,88,13
0.0,0,Waivers,0.0,0,0,.501,0,4,0
0.1,0,Free Agency,0.0,0,0,.501,0,61,0
-0.1,-3,Rule 5 Draft,-0.4,-0,0,.479,-2,18,1
-0.1,-2,Free Agency,-0.7,2,-0,.485,1,46,5
-1.6,3,Amateur Draft,-2.2,3,-1,.486,22,161,26
-0.1,-1,Amateur Draft,-0.2,-1,-1,.477,-1,10,1
-4.6,229, ,0.1,-6,14,.500,274,2194,230
1.1,31,Free Agency,1.1,1,2,.508,21,131,20
-0.2,-2,Free Agency,-0.5,-2,-0,.478,-2,21,2
