BLK%,Age,DRB%,TS%,DRtg,GS,TOV%,MP
8.4,25-226,22.9,.000,101,1,45.0,37:00
5.7,25-264,20.4,.738,116,1,7.2,35:00
2.7,25-241,28.5,.644,111,1,34.0,23:00
4.3,25-141,22.7,.000,118,1,66.7,32:00
0.0,25-253,30.5,.515,113,1,20.5,36:00
3.5,25-266,19.5,.597,92,1,21.6,41:00
0.0,25-236,33.6,1.000,120,1,0.0,26:00
4.2,25-116,20.5,.400,114,1,28.6,18:00
7.6,25-184,25.6,.481,97,1,27.8,25:00
9.1,25-189,15.8,.000,112,1,0.0,32:00
11.9,25-137,25.9,.532,80,1,51.5,33:00
4.6,25-221,18.2,.563,106,1,25.3,45:00
8.3,25-181,25.1,.333,96,1,40.0,17:00
7.6,25-200,26.7,.625,112,1,0.0,45:00
0.0,25-160,39.2,.400,109,1,28.6,17:00
2.6,25-275,13.7,.500,119,1,0.0,25:00
3.8,25-164,20.5,.514,128,1,18.6,37:00
3.0,25-270,13.1,.788,118,1,18.4,53:00
2.0,25-214,14.3,.444,100,1,20.2,35:00
2.9,25-259,21.1,.000,103,1,0.0,26:00
5.7,25-134,17.5,.255,113,1,25.4,37:00
5.0,25-267,14.4,.333,128,1,25.0,27:00
7.5,25-180,12.5,.667,98,1,0.0,28:00
4.1,25-251,23.6,.167,98,1,40.0,31:00
7.6,25-207,27.7,.000,113,1,25.8,40:00
