Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 1,vs. Truett-McConnell College,"W, 5-2",4,1,1,1,-,-,0,-,-,-,1
Feb 2,at Valdosta State,"L, 14-5",3,0,1,-,-,-,0,-,-,-,-
Feb 5,at Auburn Montgomery,"W, 12-7",5,0,1,-,-,-,0,1,-,-,-
Feb 7,at West Alabama,"L, 6-2",3,0,1,-,-,-,1,1,-,-,-
Feb 8,at West Alabama,"L, 6-0",2,0,0,-,-,-,0,1,-,-,-
Feb 9,at West Alabama,"L, 6-1",4,0,0,-,-,-,0,-,2,-,-
Feb 15,University of Montevallo,"L, 13-5",4,0,0,-,-,-,0,-,1,-,-
Feb 15,University of Montevallo,"W, 6-5",5,0,1,-,-,-,0,-,1,-,-
Feb 16,University of Montevallo,"L, 8-2",3,0,0,-,-,-,0,-,-,-,-
Feb 18,at Albany State,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Feb 19,Southern Polytechnic State,"L, 6-1",4,1,1,1,-,-,0,-,-,-,-
Feb 22,at Armstrong,"L, 5-4",4,1,1,-,-,-,0,-,-,-,-
Feb 22,at Armstrong,"L, 4-3",3,0,0,-,-,-,0,1,-,-,-
Feb 23,at Armstrong,"L, 9-6",3,0,1,-,-,-,1,-,-,-,-
Mar 1,at Francis Marion University,"W, 10-4",3,0,1,-,-,-,1,-,-,-,-
Mar 1,at Francis Marion University,"L, 5-2",4,0,1,-,-,-,0,-,-,-,-
Mar 2,at Francis Marion University,"L, 5-4",4,0,1,-,-,-,0,-,-,-,-
Mar 8,Georgia College,"L, 8-6",5,0,0,-,-,-,0,-,-,-,-
Mar 9,Georgia College,"L, 7-2",3,0,1,-,-,-,0,-,-,-,-
Mar 9,Georgia College,"L, 9-4",3,1,1,-,-,-,0,1,-,-,-
Mar 15,at UNC Pembroke,"W, 5-4",3,1,2,1,-,-,3,-,-,-,-
Mar 15,at UNC Pembroke,"L, 13-1",3,0,1,-,-,-,0,-,-,-,-
Mar 16,at UNC Pembroke,"L, 10-4",4,0,2,-,-,-,1,-,-,-,-
Mar 19,at Stillman College,"L, 6-2",4,0,0,-,-,-,0,-,-,-,-
Mar 20,at Stillman College,"W, 5-4",5,0,0,-,-,-,0,-,-,-,-
Mar 26,at West Georgia,"W, 5-3",4,1,1,-,-,-,1,-,1,-,-
Mar 30,Lander University,"W, 3-2",3,0,0,-,-,-,0,-,1,-,-
Mar 30,Lander University,"L, 16-3",5,1,1,-,-,-,0,-,1,-,-
Mar 31,Lander University,"W, 8-7",5,0,2,-,-,-,1,-,1,-,-
Apr 2,Albany State,"W, 6-1",3,0,0,-,-,-,0,1,-,-,1
Apr 5,at Young Harris College,"L, 4-3",4,0,0,-,-,-,0,-,1,-,-
Apr 5,at Young Harris College,"L, 9-3",3,1,1,-,-,-,0,1,-,-,-
Apr 6,at Young Harris College,"L, 13-7",3,0,1,-,-,-,1,-,-,-,-
Apr 9,at Southern Polytechnic State,"L, 6-0",3,0,0,-,-,-,0,-,-,-,-
Apr 11,Columbus State,"L, 7-2",4,0,1,-,-,-,0,-,-,-,-
Apr 12,Columbus State,"L, 8-7",4,1,1,-,-,-,1,1,-,-,-
Apr 13,Columbus State,"L, 9-7",4,1,2,-,-,-,1,1,1,-,-
Apr 16,Auburn Montgomery,"L, 12-4",5,1,4,1,-,-,1,-,1,-,-
Apr 20,Flagler College,"L, 3-1",3,0,0,-,-,-,0,1,1,-,-
Apr 20,Flagler College,"W, 5-4",3,0,2,-,-,-,0,1,-,-,-
Apr 21,Flagler College,"L, 8-5",4,0,1,-,-,-,0,-,1,-,-
Apr 26,at USC Aiken,"L, 13-4",0,0,0,-,-,-,0,-,-,-,-
Apr 26,at USC Aiken,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at USC Aiken,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
