Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Lancaster,0.289,140,4823,976,1395,296,57,153,897,669,957,140,63,33,64,104,0.384,0.469,0.853
High Desert,0.274,140,4850,827,1329,285,56,154,763,503,1066,144,56,35,55,83,0.346,0.451,0.798
Inland Empire,0.27,140,4839,675,1308,254,58,106,625,416,1089,92,43,53,42,110,0.334,0.412,0.746
Lake Elsinore,0.267,140,4820,718,1286,257,72,96,658,487,1082,201,67,31,40,80,0.34,0.41,0.749
Visalia,0.266,140,4754,704,1265,261,28,110,639,522,1172,89,36,59,36,101,0.343,0.402,0.745
Rancho Cucamonga,0.262,140,4759,728,1245,245,73,145,674,441,1208,185,81,58,50,68,0.333,0.435,0.768
San Jose,0.259,140,4836,690,1251,280,37,116,633,460,1142,98,48,45,56,94,0.331,0.404,0.735
Bakersfield,0.257,140,4780,635,1229,254,35,136,596,396,1104,142,75,21,31,88,0.319,0.41,0.73
Modesto,0.252,140,4839,695,1221,275,46,124,630,429,1372,135,48,30,42,79,0.321,0.405,0.726
Stockton,0.247,140,4894,731,1207,272,31,183,698,497,1319,96,33,6,41,89,0.326,0.427,0.753
