Player,TOV,FTA,DRB,FG%,BPG,#,PPG,MPG
Kyle McAlarney,1.4,1.5,1.1,0.5,0.0,85,10.7,21.7
Nicolas Lang,0.6,0.8,1.6,0.357,0.0,47,6.0,18.1
Markus Loncar,3.2,0.5,2.5,0.526,0.8,7,5.5,23.7
Eric Palm,2.4,7.5,3.8,0.437,0.1,49,26.5,36.7
Oleg Baranov,1.0,2.0,4.5,0.182,1.0,23,4.5,26.5
Fernando Alonso,1.5,2.8,1.0,0.5,0.0,97,13.5,22.3
Aleksandar Jevdic,0.9,2.1,2.3,0.5,0.1,39,12.9,36.4
Andrea Benevelli,0.9,0.9,1.5,0.492,0.3,44,7.2,19.0
Pablo Movilla,1.2,0.4,0.8,0.405,0.0,17,4.3,15.4
Brano Dukanovic,1.0,0.3,1.0,0.374,0.1,10,6.0,16.4
Pete Campbell,1.1,1.3,4.2,0.421,0.0,90,13.5,31.8
Robert Clarke,1.4,0.4,0.5,0.394,0.2,20,6.8,15.4
Tamas Okros,1.7,0.3,0.7,0.5,0.0,27,6.7,23.6
Francisco Sanchez,1.9,1.8,2.8,0.451,0.1,86,15.7,28.5
Imre Kovacs,0.9,0.2,2.1,0.407,0.3,31,4.9,21.8
Albert Oliver,1.6,4.4,2.1,0.421,0.1,50,11.4,21.2
Francesc Iturria,1.8,2.8,3.2,0.382,0.0,2,14.5,28.5
Mathieu Tensorer,1.1,0.4,1.2,0.467,0.1,29,5.4,16.1
Christoph Knor,0.5,0.5,1.6,0.376,0.0,64,8.5,22.7
Levi Rost,1.1,3.1,2.2,0.431,0.3,62,12.7,27.5
Eden Paas,2.2,0.5,1.8,0.583,0.2,37,8.8,31.6
Christian Schmidt,1.5,4.0,3.0,0.469,0.0,19,21.0,28.0
Sten Olmre,5.3,2.7,2.7,0.533,0.0,24,13.3,35.0
Raul Mena,2.2,0.8,1.3,0.365,0.0,95,4.0,20.1
Jeb Ivey,2.4,2.7,2.2,0.448,0.1,77,15.6,34.8
Diego Pinheiro,1.8,1.5,2.1,0.448,0.2,93,9.2,20.6
Dwayne Wright,1.2,0.5,1.8,0.386,0.0,5,10.5,28.8
Nick Boakye,1.0,0.5,1.8,0.438,0.2,6,4.2,18.1
Joaquin Izuibejeres,3.0,0.3,2.0,0.423,0.0,14,8.7,23.3
Dmitrii Nikolaev,2.0,5.5,4.0,0.412,0.0,100,12.5,21.5
Benjamin Dewar,0.9,1.1,1.2,0.44,0.2,73,7.8,20.5
Radovan Markovic,1.3,2.6,1.0,0.4,0.0,82,10.0,20.8
Nils Mittmann,0.4,0.1,2.5,0.357,0.1,30,3.9,18.5
Ole Gunnar Moss,0.0,1.0,2.0,0.4,0.0,12,6.0,22.1
Jakob Sigurdarson,2.0,4.5,2.6,0.456,0.1,69,18.3,33.5
Benoit Gillet,0.9,0.3,1.1,0.451,0.1,33,7.5,23.9
Stephen Brun,1.1,0.6,3.5,0.439,0.1,41,8.1,21.2
Guni Israeli,1.5,1.2,2.0,0.422,0.0,54,6.2,22.0
Hreinn Birgisson,1.1,0.4,1.6,0.309,0.1,16,4.0,19.4
Arnauld Thinon,1.1,3.3,2.0,0.485,0.0,52,14.7,34.2
Silver Jurno,2.0,1.7,2.3,0.545,0.0,28,11.0,15.2
Hayden Allen,1.5,1.8,2.5,0.39,0.0,78,12.4,28.4
Nacho Ordin,1.5,1.4,1.5,0.474,0.0,70,8.1,22.6
Jean-Michel Mipoka,1.1,0.9,2.0,0.402,0.2,81,6.9,18.2
Giacomo Luppi,3.0,0.2,1.0,0.35,0.0,36,4.5,23.3
James Parker,1.0,2.1,1.9,0.366,0.1,84,13.5,28.2
Stu Douglass,1.5,1.3,1.4,0.413,0.0,99,9.5,21.2
Tree Philips,2.2,4.8,4.6,0.429,0.4,35,19.6,36.4
Taurean Green,3.0,4.4,3.0,0.424,0.1,87,12.4,31.3
Silviu Lupusavei,0.8,0.4,1.0,0.436,0.0,57,6.3,15.2
Jonathan Barreiro,1.8,0.4,2.0,0.385,0.0,3,5.4,24.5
Aleksandar Kostoski,2.9,4.1,3.5,0.43,0.1,98,19.5,32.4
Ryan Hoover,2.6,3.2,3.1,0.441,0.0,71,10.8,30.4
Justin Shouse,4.3,6.0,4.3,0.44,0.0,91,20.7,34.6
Sam Hemeleers,5.7,1.7,2.7,0.35,0.0,22,7.0,31.0
Aleksandar Lazic,2.8,0.5,6.2,0.5,0.5,15,6.8,22.5
Alberto Corbacho,0.8,2.4,1.5,0.408,0.0,45,13.1,25.0
Juan Riera,1.2,2.1,1.2,0.371,0.0,79,6.0,18.1
Deteri Jabbar Mayes,0.9,2.7,1.5,0.442,0.0,74,10.7,20.9
Fernando Martinez,3.0,2.7,4.0,0.281,0.0,34,9.7,24.2
Mats Levin,1.8,2.7,1.7,0.419,0.0,68,8.0,22.6
