BB,WP,H,TBF,Feat Description,Team,R,Result
2,0,5,33,11 Strikeouts,PHI,1,W 2-1 vs ATL
0,0,3,15,Threw 75% strikes,BAL,1,W 8-4 vs BOS
1,0,3,29,"14 Strikeouts, Threw 78% strikes",BOS,0,W 3-2 vs BAL
0,0,6,32,10 Strikeouts,BOS,4,W 6-4 vs TOR
1,0,3,31,3-hitter,ARI,1,W 3-1 @SDN
1,0,6,28,10 Strikeouts,ARI,3,L 3-7 @HOU
0,0,10,27,Threw 78% strikes,ARI,6,L 1-10 vs FLO
0,0,5,25,Threw 76% strikes,BOS,1,L 3-6 @BAL
1,0,6,30,13 Strikeouts,ARI,2,W 5-2 vs PIT
0,1,4,31,"10 Strikeouts, Threw 76% strikes",ARI,2,W 11-2 vs COL
0,1,7,26,10 Strikeouts,ARI,6,L 1-6 vs BAL
1,0,8,29,Threw 75% strikes,ARI,1,W 3-2 @LAN
3,0,4,34,11 Strikeouts,PHI,1,W 2-1 vs SLN
1,0,8,36,10 Strikeouts,PHI,3,W 5-3 @MON
0,0,10,34,"12 Strikeouts, 400th career game",ARI,4,W 5-4 vs PHI
0,0,10,29,Threw 76% strikes,ARI,3,W 12-3 @COL
2,0,5,26,12 Strikeouts,PHI,0,L 2-4 vs COL
1,0,5,28,13 Strikeouts,PHI,2,L 1-4 vs HOU
1,0,6,30,11 Strikeouts,PHI,2,W 17-3 vs FLO
0,0,6,27,10 Strikeouts,BOS,1,W 5-3 vs CLE
2,0,6,27,10 Strikeouts,PHI,3,W 7-6 vs SDN
2,0,6,28,10 Strikeouts,PHI,2,W 6-2 @MIL
0,0,5,26,13 Strikeouts,PHI,2,W 6-2 vs CHN
3,0,6,26,10 Strikeouts,PHI,2,W 13-3 @FLO
4,0,8,28,"12 Strikeouts, Struck out at least 2 batters per inning (1.2+ ip)",PHI,7,L 1-9 @ATL
1,0,2,29,"10 Strikeouts, Complete game/Shutout, 2-hitter",PHI,0,W 1-0 vs ATL
0,0,3,23,Threw 75% strikes,BOS,0,W 10-1 @CHA
1,1,7,29,11 Strikeouts,ARI,3,L 3-4 vs ATL
3,0,3,29,11 Strikeouts,PHI,2,W 4-2 vs HOU
0,0,7,31,16 Strikeouts,PHI,1,W 5-1 vs NYA
0,0,4,30,10 Strikeouts,ARI,0,W 5-0 @PIT
1,0,4,31,10 Strikeouts,ARI,1,W 7-1 @SFN
1,0,6,30,15 Strikeouts,PHI,3,L 2-3 vs PIT
0,0,13,33,12 Strikeouts,ARI,7,W 10-7 vs FLO
0,0,4,31,12 Strikeouts,PHI,1,W 3-1 vs COL
2,0,11,29,10 Strikeouts,BOS,5,W 12-7 vs TOR
1,0,7,32,10 Strikeouts,PHI,3,L 1-3 @SDN
1,0,6,26,Threw 77% strikes,ARI,0,W 7-0 @ATL
1,0,4,27,10 Strikeouts,PHI,2,W 4-3 @MON
0,0,6,31,12 Strikeouts,ARI,1,W 2-1 @CHN
3,0,2,27,11 Strikeouts,PHI,0,W 3-0 @LAN
1,0,6,28,11 Strikeouts,ARI,0,W 2-0 @CIN
