Date,Opponent,Score,hbp,sf,sh,tb,xbh,hdp,go,fo,go/fo,pa
Feb 1,West Ala.,"W, 1-0",-,-,-,0,0,-,-,-,-,2
Feb 1,West Ala.,"L, 3-2",-,-,-,-,-,-,-,-,-,-
Feb 2,Queens (N.C.),"L, 4-3",-,-,-,0,0,-,-,1,-,1
Feb 2,Queens (N.C.),"W, 3-0",-,-,-,-,-,-,-,-,-,-
Feb 7,Albany St. (Ga.),"W, 4-2",-,-,-,2,0,-,1,-,-,3
Feb 7,Albany St. (Ga.),"W, 5-1",-,-,1,1,0,-,-,1,-,3
Feb 16,Tusculum,"W, 3-2",1,-,-,1,0,-,-,-,-,3
Feb 16,Tusculum,"W, 2-0",-,-,-,2,1,-,1,1,1.00,3
Feb 17,at Carson-Newman,"W, 6-4",-,-,-,3,1,-,1,1,1.00,4
Feb 17,at Carson-Newman,"L, 9-5",-,-,-,2,0,-,-,2,-,4
Feb 22,at #21 Anderson,"L, 7-5",-,-,-,0,0,-,3,-,-,4
Feb 22,at #21 Anderson,"W, 7-3",-,-,-,1,0,-,-,2,-,3
Feb 25,Brevard,"W, 11-3",-,-,-,0,0,-,-,2,-,3
Feb 25,Brevard,"W, 9-0",-,-,-,-,-,-,-,-,-,-
Feb 28,vs. Brevard,"W, 10-2",-,-,-,0,0,-,-,2,-,3
Feb 28,vs. Carson-Newman,"W, 6-4",-,-,-,-,-,-,-,-,-,-
Mar 1,vs. Lincoln Memorial,"W, 5-4",-,-,-,1,0,-,-,-,-,1
Mar 1,vs. Lenoir-Rhyne,"L, 3-2",-,-,-,0,0,-,2,1,2.00,3
Mar 4,Mount Olive,"W, 5-2",-,-,-,0,0,-,1,1,1.00,2
Mar 4,Mount Olive,"W, 6-2",-,-,-,-,-,-,-,-,-,-
Mar 7,#23 Barry,"W, 2-0",-,-,-,-,-,-,-,-,-,-
Mar 7,Newberry,"W, 6-2",-,-,-,0,0,-,1,-,-,2
Mar 8,#23 Barry,"W, 9-4",-,-,-,-,-,-,-,-,-,-
Mar 8,Newberry,"W, 2-0",-,-,-,0,0,-,-,1,-,2
Mar 14,at Young Harris,"W, 6-3",-,-,-,0,0,-,1,-,-,1
Mar 14,at Young Harris,"L, 6-5",-,-,-,0,0,-,-,1,-,1
Mar 20,at West Ga.,"W, 3-1",-,-,-,-,-,-,-,-,-,-
Mar 20,at West Ga.,"W, 3-1",-,-,-,0,0,-,-,1,-,1
Mar 22,at UNC Pembroke,"L, 4-2",-,-,-,-,-,-,-,-,-,-
Mar 22,at UNC Pembroke,"W, 8-7",-,-,-,0,0,-,1,1,1.00,3
Mar 23,at Francis Marion,"W, 8-5",-,-,-,-,-,-,-,-,-,-
Mar 23,at Francis Marion,"L, 8-4",-,-,-,-,-,-,-,-,-,-
Mar 27,at #15 North Georgia,"L, 2-1",-,-,-,-,-,-,-,-,-,-
Mar 27,at #15 North Georgia,"L, 7-3",-,-,-,2,0,-,1,-,-,4
Mar 30,Flagler,"W, 8-0",-,-,-,-,-,-,-,-,-,-
Mar 30,Flagler,"W, 14-7",-,-,-,0,0,-,1,-,-,1
Mar 31,#3 Armstrong,"L, 4-0",-,-,-,-,-,-,-,-,-,-
Mar 31,#3 Armstrong,"W, 7-2",-,-,-,-,-,-,-,-,-,-
Apr 2,at GRU Augusta,"W, 3-1",-,-,-,-,-,-,-,-,-,-
Apr 2,at GRU Augusta,"W, 3-1",-,-,-,0,0,-,-,-,-,1
Apr 5,Ga. Southwestern,"W, 3-2",-,-,-,-,-,-,-,-,-,-
Apr 5,Ga. Southwestern,"W, 4-0",-,-,-,-,-,-,-,-,-,-
Apr 9,Columbus St.,"W, 9-4",-,-,-,0,0,-,-,-,-,0
Apr 9,Columbus St.,"L, 4-3",-,-,-,0,0,-,1,1,1.00,3
Apr 12,at USC Aiken,"L, 6-5",-,-,-,0,0,-,1,-,-,2
Apr 12,at USC Aiken,"L, 4-1",-,-,-,0,0,-,-,-,-,2
Apr 15,Lander,"W, 7-2",-,-,-,-,-,-,-,-,-,-
Apr 15,Lander,"W, 9-0",1,-,-,0,0,-,-,-,-,1
Apr 18,vs. Flagler,"L, 6-4",-,-,-,-,-,-,-,-,-,-
May 9,at Anderson (S.C.),"L, 4-3",-,-,-,-,-,-,-,-,-,-
May 10,vs. USC Aiken,"L, 2-0",-,-,-,0,0,-,1,1,1.00,3
