BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
1999,STL,9,11,10,0,1,0,0,0,0,0,0,0,3,0.1,0.1,0.1,0.2
2000,STL,35,73,68,8,17,1,1,2,9,0,0,4,20,0.25,0.292,0.382,0.674
2001,STL,6,10,8,1,0,0,0,0,0,0,0,1,5,0.0,0.111,0.0,0.111
2004,STL,5,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5
2007,STL,47,190,172,31,49,8,1,11,39,1,0,13,41,0.285,0.328,0.535,0.863
2008,STL,120,463,413,65,109,21,2,25,71,2,1,42,100,0.264,0.337,0.506,0.843
2009,STL,122,404,372,50,86,21,2,11,38,4,3,26,99,0.231,0.285,0.387,0.672
2010,KC,27,101,92,14,24,7,0,4,15,1,0,7,29,0.261,0.317,0.467,0.784
2010,ATL,47,139,119,17,25,6,1,2,9,2,1,19,42,0.21,0.324,0.328,0.652
2010,Total,74,240,211,31,49,13,1,6,24,3,1,26,71,0.232,0.321,0.389,0.71
2011,WSH,122,415,380,46,91,20,0,9,37,10,3,29,96,0.239,0.296,0.363,0.659
2012,WSH,68,171,158,15,36,10,2,5,15,1,3,12,59,0.228,0.282,0.411,0.693
2013,HOU,25,65,62,6,12,3,0,5,11,0,0,3,35,0.194,0.231,0.484,0.715
2013,NYM,20,71,66,7,12,4,1,2,7,0,1,5,25,0.182,0.239,0.364,0.603
2013,Total,45,136,128,13,24,7,1,7,18,0,1,8,60,0.188,0.235,0.422,0.657
Career, ,653,2115,1921,260,462,101,10,76,251,21,12,162,555,0.24,0.302,0.422,0.724
