GIDP,AVG,OBP,G,RBI,SB
3,.242,.324,51,36,2
0,.111,.200,3,1,0
4,.221,.265,40,14,1
0,.333,.500,3,0,0
0,.214,.361,12,3,0
7,.280,.366,33,19,0
4,.230,.339,48,21,3
4,.290,.329,51,21,8
0,.182,.280,8,1,0
3,.262,.321,26,9,5
1,.107,.206,8,4,0
0,.149,.245,21,5,0
5,.313,.372,47,21,4
7,.348,.425,52,30,1
0,.160,.222,9,4,0
5,.317,.364,54,33,14
1,.207,.273,34,9,1
1,.286,.306,10,1,3
5,.222,.272,47,26,6
1,.284,.314,19,9,1
2,.202,.282,34,11,2
5,.215,.298,37,8,5
3,.281,.337,39,9,3
8,.295,.344,45,21,6
3,.300,.341,25,19,2
1,.286,.375,6,3,0
0,.000,.000,1,0,0
7,.241,.278,41,20,4
1,.324,.383,22,10,2
0,.250,.423,15,5,5
3,.203,.210,20,2,1
0,.100,.136,5,2,0
2,.219,.315,37,13,3
0,.217,.287,41,7,2
1,.284,.296,43,29,0
0,.254,.270,26,5,5
6,.219,.297,55,18,2
0,.182,.286,4,1,0
0,.121,.171,10,4,0
1,.257,.389,53,14,8
1,.095,.091,6,1,0
5,.279,.319,32,12,9
3,.227,.291,40,14,2
1,.310,.397,20,13,0
2,.180,.280,37,9,2
0,.355,.432,11,5,1
0,.333,.333,4,3,0
1,.467,.579,5,1,1
3,.313,.415,44,12,4
0,.000,.000,1,0,0
0,.625,.700,3,2,0
0,.000,.000,1,0,0
2,.154,.308,19,6,1
0,.150,.208,9,3,0
3,.179,.290,28,7,1
1,.207,.233,7,3,1
0,.125,.192,12,3,2
3,.373,.406,51,46,5
1,.169,.229,31,2,0
3,.209,.357,51,8,16
3,.208,.315,34,3,3
0,.245,.382,33,11,4
1,.248,.315,42,30,1
3,.211,.286,32,10,0
0,.304,.370,8,9,0
3,.221,.301,51,23,8
3,.255,.360,43,19,0
1,.313,.389,5,2,1
0,.233,.410,9,8,0
0,.298,.450,17,8,1
0,--,--,1,0,0
1,.167,.200,9,2,0
1,.325,.388,50,29,21
3,.270,.345,46,26,1
3,.187,.257,42,12,2
0,.300,.382,14,7,1
0,.173,.250,27,11,1
3,.294,.369,37,17,4
1,.163,.311,18,5,0
3,.264,.320,52,30,2
1,.240,.321,25,13,1
0,.281,.361,11,8,0
1,.246,.364,52,13,9
0,.296,.406,10,4,0
2,.235,.293,49,13,5
3,.272,.348,21,10,0
3,.268,.295,59,30,1
5,.174,.244,48,12,0
0,.225,.319,35,10,5
0,.182,.308,3,0,0
6,.235,.297,54,21,3
5,.253,.316,53,31,2
0,.288,.372,49,16,8
1,.292,.375,35,14,10
0,.143,.196,17,3,1
1,.188,.342,24,6,5
1,.280,.366,32,11,4
0,.267,.368,27,16,5
2,.246,.340,51,23,1
1,.337,.407,27,17,2
5,.305,.387,28,16,7
0,.194,.342,12,3,0
2,.063,.250,6,1,0
5,.283,.357,47,24,5
0,.145,.270,24,4,2
0,.109,.183,22,4,2
2,.202,.324,31,11,0
4,.221,.291,39,17,0
8,.215,.358,38,24,6
0,.444,.474,8,1,0
0,.265,.419,20,4,5
1,.273,.338,22,10,1
4,.212,.236,41,6,1
1,.232,.313,22,7,0
2,.344,.441,37,24,1
0,.308,.400,4,1,0
3,.148,.175,19,7,0
1,.133,.263,7,1,0
0,.308,.438,4,1,0
0,--,1.000,1,0,0
1,.235,.409,7,0,1
0,.300,.364,4,0,0
0,.256,.357,38,15,11
0,.333,.412,5,3,0
1,.118,.167,4,0,1
2,.194,.299,44,19,4
0,.571,.667,2,1,0
0,.000,.400,2,0,1
0,.111,.111,14,1,0
2,.218,.296,33,8,5
1,.214,.295,35,15,0
2,.250,.350,27,14,1
2,.302,.408,34,17,2
3,.244,.333,26,6,12
4,.283,.343,40,30,8
1,.296,.355,8,5,1
0,.000,.000,1,0,0
0,.189,.283,32,7,1
1,.200,.273,3,0,0
1,.203,.248,43,15,2
4,.270,.337,43,18,6
0,.294,.316,5,4,0
0,.625,.600,2,4,0
0,.286,.286,4,1,0
2,.250,.327,30,11,0
0,.286,.375,2,0,0
0,.341,.430,45,26,16
1,.225,.352,39,4,9
0,.207,.343,12,3,1
1,.228,.330,48,19,1
0,.167,.167,5,0,0
1,.284,.385,51,20,10
2,.318,.406,43,30,6
1,.167,.211,6,1,0
0,.257,.352,45,17,13
0,.500,.500,1,0,0
0,.169,.258,45,3,6
5,.305,.421,36,9,1
1,.308,.390,17,11,0
3,.244,.347,41,16,1
0,.500,.636,3,0,2
0,--,--,1,0,0
2,.211,.288,18,9,4
1,.136,.240,10,0,0
2,.230,.316,40,16,2
0,.125,.222,10,0,0
5,.269,.321,40,12,4
1,.165,.247,25,7,0
0,--,--,1,0,0
2,.409,.519,7,4,0
4,.321,.421,35,13,5
0,.500,.667,1,0,0
6,.345,.422,38,24,0
1,.229,.340,26,9,0
0,.182,.269,6,4,0
1,.077,.143,12,1,1
0,.279,.279,21,2,7
1,.225,.287,24,8,0
3,.288,.349,45,14,7
4,.130,.195,22,7,1
0,.333,.500,2,0,0
2,.219,.231,26,6,0
0,.333,.500,4,0,0
4,.258,.311,27,13,0
1,.186,.257,35,5,1
1,.190,.352,19,3,0
2,.213,.304,21,8,0
3,.203,.286,39,5,3
2,.071,.188,5,0,0
3,.283,.319,32,12,3
2,.313,.346,14,8,1
1,.273,.333,6,1,0
10,.274,.341,53,39,3
2,.267,.319,28,22,4
2,.273,.338,48,21,10
0,.200,.333,2,2,0
4,.263,.330,43,22,14
3,.213,.314,21,5,0
0,.250,.250,4,2,1
1,.313,.389,10,5,4
6,.303,.355,40,28,2
5,.237,.354,50,24,5
0,.096,.203,28,2,1
1,.146,.241,21,1,1
1,.202,.295,30,5,4
0,.053,.217,7,0,1
3,.288,.346,36,12,1
1,.225,.316,32,8,1
2,.214,.288,43,13,6
0,.200,.200,2,1,0
1,.333,.417,26,5,0
1,.295,.378,27,10,6
