3B,Team,HR,CS,AVG
1,NYY,17,0,0.252
1,MIL,3,0,0.249
1,TEX,9,0,0.226
0,NYM,2,0,0.236
0,ARI,9,0,0.293
0,BAL,0,0,0.107
0,CHC,0,0,0.2
0,KC,15,0,0.243
0,CLE,3,0,0.156
0,BAL,0,0,0.455
0,ARI,2,0,0.242
0,MIN,3,0,0.231
0,CHC,10,0,0.23
0,SD,1,0,0.077
1,CLE,5,0,0.226
0,HOU,9,0,0.221
0,ARI,1,1,0.211
2,TOR,15,4,0.264
0,TOR,0,0,0.269
1,CIN,0,0,0.178
0,TOR,3,0,0.224
0,TB,5,0,0.176
2,SF,3,0,0.241
0,NYM,2,0,0.123
0,WAS,3,0,0.204
0,CHC,2,0,0.163
0,CLE,5,0,0.227
0,LAD,0,0,0.267
0,SEA,1,0,0.079
1,SD,12,0,0.241
1,STL,2,1,0.286
0,SEA,10,1,0.18
0,MIL,3,1,0.184
3,COL,3,1,0.214
0,DET,1,0,0.271
0,BOS,1,0,0.241
0,TB,7,0,0.246
2,PIT,5,1,0.296
0,SF,15,0,0.327
0,BOS,0,0,0.18
2,OAK,14,1,0.262
7,HOU,17,1,0.247
0,ATL,1,0,0.198
0,WAS,9,0,0.234
0,CHC,1,0,0.184
0,TB,1,1,0.35
3,COL,8,5,0.295
0,LAD,15,1,0.292
1,BOS,1,2,0.244
0,ARI,1,0,0.2
0,CWS,7,1,0.222
1,NYM,4,0,0.269
