AVG,POS,H,HR,Player,3B,G,OBP
.248,3B,63,9,H Wrigley,1,62,.280
.279,2B,107,5,T Kuhn,6,109,.345
.246,SS,75,4,M Gonzalez,3,86,.284
.220,1B,68,12,M Fields,0,87,.291
.214,SS,3,0,R Hudson,0,4,.353
.667,SS,2,0,N Franklin,0,1,.750
.317,C,86,5,S Clevenger,0,88,.367
--,C,0,0,C Tanabe,0,1,--
.297,C,43,2,J Sucre,1,38,.301
.244,1B,67,6,M Saccomanno,2,70,.280
.000,C,0,0,A Salome,0,2,.000
.254,3B,17,3,R Wheeler,0,19,.315
.241,C,20,1,C McMurray,0,30,.276
.239,C,11,2,A Garabedian,0,19,.327
.302,1B,147,14,J Limonta,2,132,.377
.333,C,14,2,L Oliveros,0,15,.420
.270,SS,89,4,C De La Cruz,4,94,.324
.277,SS,154,2,D Gordon,10,133,.332
.260,3B,102,13,T Green,1,113,.336
.202,C,54,3,C Hatcher,1,84,.261
.240,3B,100,11,D Linares,1,109,.279
.229,1B,11,1,D Yount,0,34,.327
.286,C,2,0,I Paxton,0,3,.286
.000,C,0,0,K Skipworth,0,2,.125
.313,C,47,4,C Denove,0,48,.383
.241,C,19,1,B Bantz,1,24,.294
.223,3B,46,7,J Vitters,0,63,.292
.275,SS,132,11,Z Wheeler,2,135,.382
.302,SS,156,5,O Martinez,4,130,.372
.257,C,47,2,M Rivera,0,58,.384
.452,C,19,0,J Lucroy,0,10,.500
1.000,SS,2,0,A Amezaga,0,1,1.000
.400,C,2,0,A Herrnberger,0,2,.400
.313,C,15,1,S McGill,0,13,.340
.181,SS,26,0,S O'Malley,3,44,.289
.196,3B,32,2,M Sweeney,0,46,.263
.196,C,20,3,J Price,0,35,.268
.276,C,87,8,C Armstrong,0,97,.370
.251,3B,42,8,K Casto,0,49,.358
.262,3B,61,1,N Samson,1,84,.307
.285,2B,158,8,B Lawrie,16,135,.346
.270,3B,83,11,M Costanzo,2,88,.349
.206,SS,21,0,J Gonzalez,0,34,.322
.212,3B,24,1,G Sexton,0,33,.336
.280,2B,115,7,J Pedroza,4,130,.378
.272,1B,25,1,J Ruiz,1,23,.358
.275,2B,38,2,A Machado,0,49,.386
.000,SS,0,0,A Zazueta,0,2,.000
.385,3B,10,0,P Baez,0,7,.448
.278,2B,108,2,J Elmore,2,124,.374
.393,3B,11,1,M Gamel,0,8,.469
.188,SS,15,0,J Fuller,2,25,.283
.217,C,5,0,J Mota,0,10,.217
.180,2B,9,0,G Montilla,0,20,.255
.322,C,38,0,J Yepez,0,34,.388
.275,2B,64,4,C Cipriano,3,71,.371
.281,1B,139,16,M Gomez,2,133,.349
.211,C,20,1,A De La Rosa,0,28,.240
.500,SS,1,0,J Wilson,0,1,.500
.310,2B,13,0,J Furmaniak,0,11,.341
.276,2B,111,11,T Thomas,11,116,.338
.000,C,0,0,H Jimenez,0,1,.000
.167,C,4,0,L May,0,7,.259
.250,3B,13,1,M Griffin,0,18,.268
.275,2B,92,14,T Torres,5,109,.381
.268,3B,75,7,L Bonilla,1,91,.332
.271,1B,117,4,E Perez,0,130,.327
