Team,H,Player,SLG,G,RBI,R
KAN,13,L Pangilinan,0.328,19,9,6
LEX,61,R Pena,0.31,82,33,31
KAN,58,M Semien,0.376,60,26,35
LEX,0,R McCurdy,0.0,1,0,0
LEX,93,B Orloff,0.373,96,31,51
LEX,46,B Heath,0.383,51,19,19
ROM,3,C Brownsten,0.136,7,0,1
WV,82,E Avila,0.289,116,31,44
ROM,126,E Salcedo,0.396,132,68,83
LEX,103,D DeShields,0.322,119,48,73
WV,75,K Mort,0.274,100,36,29
AUG,3,K Tomlinson,0.333,2,1,2
HAG,55,S Nicol,0.425,57,26,31
ROM,1,F De Los Santos,0.5,1,0,0
HAG,150,B Kelso,0.365,127,52,81
SAV,68,L Nieves,0.297,87,20,33
ROM,76,T La Stella,0.543,63,40,46
ROM,19,R Delgado,0.446,21,13,9
ROM,5,K Davis,0.188,11,2,5
GVL,15,D Dominguez,0.214,24,6,13
LWD,12,S Batts,0.391,18,9,9
LWD,11,T Langley,0.24,17,7,2
GBO,144,N Perio,0.406,119,52,76
AUG,27,Y Villegas,0.239,38,3,10
DEL,41,M Givens,0.229,57,15,21
HIC,3,E Garcia,0.667,2,1,2
GVL,95,S Coyle,0.464,106,64,77
GVL,3,T Shaw,0.444,2,1,1
LWD,1,K Miramontes,0.1,3,0,1
KAN,44,M Blanke,0.382,47,18,22
ASH,44,R Wilson,0.342,61,15,40
LEX,53,J Mier,0.38,57,29,39
LEX,126,M Kvasnicka,0.368,128,59,59
KAN,95,J Silverio,0.459,88,58,48
HAG,25,A Nieto,0.449,27,12,17
SAV,114,A Rodriguez,0.372,131,78,59
AUG,123,A Duvall,0.527,116,87,69
GBO,56,B McConkey,0.394,63,26,36
LWD,33,T Mattair,0.395,33,18,15
ROM,9,J Whitmer,0.333,10,2,4
LEX,72,T Nash,0.485,73,37,41
GVL,5,L Escobar,0.357,4,0,2
KAN,77,R Wilson,0.369,79,26,43
LWD,8,M Franco,0.2,17,6,6
ASH,103,J Wong,0.408,101,55,43
LWD,11,D Hillman,0.31,15,4,4
GVL,93,D Renfroe,0.377,107,45,43
SAV,123,W Tovar,0.318,131,41,70
ROM,29,B Kleinknecht,0.43,30,15,9
LWD,67,C Perdomo,0.308,77,27,32
ROM,109,E Gattis,0.601,88,71,58
GBO,3,J Morales,0.333,3,2,1
HAG,73,B Newsome,0.404,79,38,34
HAG,109,J Martinson,0.448,129,64,64
DEL,63,A Gaylord,0.252,83,25,26
GBO,63,W Gimenez,0.347,72,32,33
LEX,6,H Rodriguez,0.2,12,2,1
LEX,69,C Wallace,0.55,66,49,37
CSC,101,J Mojica,0.337,108,42,41
KAN,47,M Gonzalez,0.326,55,21,17
LWD,27,A Schoenberger,0.292,36,9,17
ASH,85,B Massanari,0.564,69,43,44
HIC,76,J Gomez,0.308,93,31,41
AUG,117,R Scoma,0.358,119,59,45
GVL,47,J Garcia,0.335,52,28,21
HAG,31,C Leonida,0.357,39,16,21
GVL,5,J Thompson,0.333,8,1,3
DEL,0,K Moore,0.0,1,0,0
GVL,89,M Head,0.612,66,53,61
SAV,3,J Brown,0.188,4,2,1
GBO,19,P Mendoza,0.271,26,9,6
GVL,39,M Almanzar,0.311,50,31,15
GBO,100,J Realmuto,0.454,96,49,46
GVL,15,J Peley,0.396,13,3,6
HAG,8,R Moldenhauer,0.261,14,3,3
LWD,8,S Singleton,0.302,11,1,5
GVL,57,H Meneses,0.354,51,22,38
DEL,34,J Oliveira,0.348,39,20,17
CSC,3,F Arcia,0.571,3,2,1
ROM,131,M Lipka,0.304,127,37,78
HAG,141,A Sanchez,0.353,131,51,75
CSC,29,K Higashioka,0.362,36,13,14
KAN,44,K Dubler,0.383,52,15,24
AUG,100,J Mazzola,0.427,104,50,52
AUG,33,E Adrianza,0.378,38,17,18
SAV,87,B Forsythe,0.395,105,43,44
GBO,116,D Black,0.383,120,51,58
KAN,51,R Ravelo,0.373,43,21,11
ASH,109,C Adames,0.386,108,44,63
HIC,142,O Herrera,0.394,119,56,72
GBO,106,M Canha,0.529,107,85,72
ASH,10,A Aguilera,0.255,19,5,6
ROM,67,C Bethancourt,0.43,54,33,25
HIC,21,Y Castillo,0.394,23,10,8
AUG,21,D Biery,0.48,19,13,9
CSC,3,J Rosario,0.19,5,2,1
SAV,17,J Butler,0.301,26,5,6
KAN,2,J Oester,0.105,6,2,1
ROM,5,C Ahearn,0.238,7,2,1
KAN,89,D Lee,0.391,94,36,49
AUG,10,D Burkhart,0.261,13,1,5
GBO,32,J Bonadonna,0.27,60,9,21
AUG,14,E Zambrano,0.37,18,5,6
LWD,32,J Lanning,0.447,43,12,23
GVL,111,C Vazquez,0.505,105,84,71
