MP,TRB%,USG%,G,Tm,eFG%,DRtg,STL%
14:20,3.7,6.9,25,NJN,.000,115,0.0
32:17,5.8,10.1,21,NJN,.571,127,1.7
39:41,2.9,11.4,12,NJN,.400,115,1.2
2:59,0.0,0.0,16,NJN, ,119,0.0
30:37,6.2,14.5,26,NJN,.750,117,3.5
22:59,22.4,10.0,48,NJN,.333,102,2.4
37:55,6.7,5.6,7,NJN,.333,103,0.0
26:26,6.6,8.3,24,NJN,.333,109,0.0
17:41,6.5,15.5,49,NJN,.500,115,3.0
16:59,7.6,11.1,50,NJN,.250,126,0.0
13:35,7.7,10.2,51,NJN,.000,121,0.0
32:15,4.9,6.7,41,NJN,.500,130,0.0
16:48,9.7,7.8,27,NJN,.000,100,3.0
7:48,0.0,21.0,1,NJN,.000,130,0.0
8:50,0.0,9.6,35,NJN, ,125,0.0
34:38,6.3,11.7,8,NJN,.286,119,0.0
23:20,12.1,15.8,31,NJN,.571,119,0.0
42:42,6.0,16.8,4,NJN,.400,100,0.0
4:16,0.0,11.1,52,NJN,.000,102,0.0
22:07,8.6,14.2,42,NJN,.250,110,2.4
13:23,8.2,10.9,40,NJN,.000,103,4.0
37:19,6.7,12.6,3,NJN,.143,98,1.4
4:33,0.0,0.0,34,NJN, ,128,0.0
18:11,3.1,18.0,45,NJN,.333,117,0.0
14:41,11.3,17.9,46,NJN,.000,104,3.6
21:49,7.4,14.0,19,NJN,1.000,131,2.2
