USG%,TOV%,DRtg
7.9,33.3,111
19.7,23.8,103
24.4,20.7,86
23.7,50.0,112
6.6,0.0,91
16.9,50.0,101
16.0,50.0,114
25.9,21.1,107
32.1,34.7,120
32.8,6.3,105
30.2,24.8,123
35.5,5.5,98
10.7,0.0,103
26.5,0.0,95
45.7,22.9,121
14.6,33.3,119
28.0,33.3,126
10.9,66.7,101
40.9,0.0,114
25.1,28.6,92
25.8,12.0,131
39.5,29.1,104
29.8,33.8,98
35.3,19.6,124
0.0, ,119
24.8,33.3,97
34.9,40.0,120
42.2,0.0,127
18.6,9.1,85
16.2,16.7,109
22.7,8.6,121
39.0,36.2,115
0.0, ,79
22.7,14.3,133
20.9,0.0,127
0.0, ,125
11.8,0.0,91
39.3,0.0,106
