MIN,3P%,AST,DRB,3PM,FT%,Player
443.0,0.305,80,56,18,0.733,Marcus Hall
1139.8,0.0,56,164,0,0.751,Coleman Collins
1846.0,0.176,46,324,3,0.803,Chris Hunter
1292.3,0.625,76,189,5,0.78,William Frisby
710.9,0.258,123,41,23,0.723,Carlos English
3634.9,0.0,158,494,0,0.738,Darnell Lazare
4230.2,0.305,167,388,220,0.732,Roderick Wilmont
1057.6,0.362,54,185,34,0.595,Brandon Wallace
553.6,0.295,37,44,33,0.737,Darryl Partin
633.3,0.0,39,95,0,0.471,Tommy Smith
456.6,0.0,18,99,0,0.5,Miles Plumlee
683.3,0.288,29,66,15,0.657,Marcus Simmons
700.9,0.0,24,147,0,0.491,Nate Gerwig
2245.6,0.25,109,334,2,0.599,Chris Porter
467.6,0.392,19,59,20,0.853,Jeremy Richardson
299.1,0.433,24,20,13,0.8,Anthony Goods
984.9,0.222,137,111,14,0.815,Tory Jackson
455.0,0.0,8,81,0,0.811,JaJuan Johnson
1906.2,0.0,88,286,0,0.718,Sean Sonderleiter
180.6,0.417,31,10,5,0.818,Devan Downey
387.6,0.316,57,24,6,0.738,Kyle Randall
1390.9,0.455,51,138,92,0.828,Ryan Ayers
1063.5,0.3,180,97,9,0.592,Anthony Harris
439.2,0.25,28,58,5,0.671,Sammy Mejia
971.3,0.375,54,101,36,0.741,Anthony Richardson
267.7,0.273,15,34,3,0.632,Olek Czyz
1719.2,0.226,54,343,14,0.772,Marvin Phillips
2623.4,0.0,73,358,0,0.526,Anthony Kent
341.9,0.0,25,88,0,0.458,Vernon Macklin
504.3,0.0,13,100,0,0.744,Cheickh Samb
224.7,0.323,10,24,10,0.75,Obi Muonelo
1237.9,0.367,114,135,18,0.819,Chris Kramer
450.1,0.369,69,69,24,0.88,Jamaal Franklin
146.6,0.294,11,16,5,0.917,Alex Acker
8226.9,0.321,758,807,67,0.804,Ron Howard
