Team,OPS,SLG
ORM,.966,.575
BIL,.675,.355
IDF,1.012,.591
MIS,.756,.434
BIL,.870,.522
OGD,.609,.276
BIL,1.149,.667
OGD,.853,.529
IDF,.829,.515
IDF,.645,.359
MIS,.885,.511
GTF,.714,.411
MIS,.887,.532
HEL,.630,.315
MIS,.734,.420
ORM,.568,.200
BIL,.775,.406
MIS,.538,.229
HEL,.765,.406
CAS,.638,.353
IDF,.827,.468
OGD,.786,.432
CAS,.892,.488
IDF,.867,.478
OGD,.789,.443
HEL,.572,.295
OGD,1.161,.619
BIL,1.203,.741
BIL,.884,.516
ORM,.711,.365
GTF,.825,.461
BIL,.623,.350
MIS,.819,.375
ORM,.987,.593
OGD,.997,.568
ORM,.501,.273
IDF,.547,.302
GTF,.821,.433
MIS,.822,.463
HEL,.833,.500
CAS,.799,.436
ORM,1.000,.629
OGD,.500,.000
CAS,.743,.438
BIL,.757,.402
BIL,.821,.413
HEL,.691,.406
GTF,.760,.408
IDF,.771,.415
OGD,.831,.538
CAS,.723,.406
HEL,.785,.411
HEL,.669,.348
IDF,.500,.278
ORM,.594,.286
CAS,.810,.449
CAS,.774,.414
BIL,.865,.479
OGD,.781,.448
OGD,.790,.437
OGD,1.005,.603
BIL,.673,.376
BIL,1.011,.625
CAS,.615,.371
CAS,.547,.286
GTF,.705,.330
IDF,.573,.300
GTF,.872,.435
ORM,.833,.500
CAS,.589,.301
ORM,.222,.000
HEL,.848,.519
MIS,.000,.000
ORM,--,--
BIL,.569,.235
