POS,OPS,SF,G,SO
3B,0.645,0,29,13
3B,0.588,1,56,19
3B,0.735,7,86,39
3B,0.796,1,43,8
3B,0.866,7,104,23
1B,0.84,0,66,9
1B,0.729,1,66,42
3B,0.816,1,94,67
3B,0.836,0,29,11
3B,0.887,1,78,21
1B,0.783,1,56,13
3B,0.566,0,19,12
3B,0.799,4,97,46
1B,0.526,0,30,19
1B,0.865,4,79,31
3B,0.449,0,49,13
1B,0.96,4,104,48
1B,0.822,0,92,35
1B,0.917,4,75,40
3B,0.644,0,60,13
3B,0.698,4,91,48
3B,0.815,1,92,33
1B,0.55,1,26,16
1B,0.778,3,97,47
1B,0.777,5,69,25
3B,0.814,2,97,22
3B,0.795,0,6,3
3B,0.827,3,72,13
3B,0.734,2,55,17
3B,0.804,0,15,9
3B,0.603,0,65,37
1B,0.809,3,104,91
1B,0.942,5,110,61
3B,0.765,1,39,9
3B,0.533,0,6,2
3B,0.798,0,28,24
3B,0.417,0,49,17
