SB,R,POS
2,30,C
2,2,SS
13,30,RF
18,93,CF
0,0,P
14,29,OF
21,84,3B
1,31,1B
0,0,P
1,36,OF
5,35,SS
4,17,OF
0,5,3B
0,0,P
0,55,C
4,73,OF
0,4,SS
0,3,P
0,21,C
0,0,P
3,18,C
0,3,OF
0,13,SS
18,65,SS
8,41,SS
0,1,C
9,33,SS
0,16,C
2,19,3B
1,59,OF
8,26,2B
0,3,3B
11,51,OF
0,1,2B
3,14,OF
0,0,P
1,46,C
0,0,P
3,9,OF
0,1,P
5,38,3B
5,28,OF
0,2,3B
0,1,OF
0,9,C
2,9,3B
4,69,1B
0,3,LF
1,58,OF
0,0,P
2,38,3B
5,13,SS
0,0,P
11,39,OF
0,4,C
0,0,P
0,0,P
1,36,2B
3,61,1B
1,24,1B
0,0,P
0,0,P
0,1,P
6,36,2B
0,4,C
0,2,P
0,0,P
3,33,LF
2,34,LF
0,1,P
