Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
David Price,DET,19,5,2,1,0,2,0,9,1,0,0.263,0.263,0.474,0.737
Hector Noesi,CHI-A,16,6,3,0,1,3,0,3,0,0,0.375,0.375,0.75,1.125
Rick Porcello,BOS,16,4,2,0,0,1,0,3,0,1,0.25,0.25,0.375,0.625
Chris Sale,CHI-A,16,3,1,0,0,1,0,5,0,0,0.188,0.188,0.25,0.438
Anibal Sanchez,DET,14,6,0,0,0,1,0,4,0,0,0.429,0.429,0.429,0.857
Corey Kluber,CLE,14,4,2,0,0,1,1,3,0,1,0.286,0.333,0.429,0.762
Max Scherzer,WAS,12,5,2,0,0,2,0,3,0,1,0.417,0.417,0.583,1.0
Jeff Samardzija,CHI-A,11,3,1,0,0,1,0,2,2,0,0.273,0.273,0.364,0.636
Jose Quintana,CHI-A,11,2,1,0,0,0,1,4,1,0,0.182,0.25,0.273,0.523
Danny Duffy,KC,11,1,0,0,0,0,0,4,0,0,0.091,0.091,0.091,0.182
John Danks,CHI-A,10,4,0,0,0,2,1,2,0,0,0.4,0.455,0.4,0.855
Trevor Bauer,CLE,10,3,1,1,0,0,0,4,0,0,0.3,0.3,0.6,0.9
Jeremy Guthrie,KC,10,3,1,1,0,0,1,3,1,0,0.3,0.364,0.6,0.964
Jason Vargas,KC,9,4,0,0,0,0,0,2,0,0,0.444,0.444,0.444,0.889
Shane Greene,DET,9,3,1,1,0,2,0,2,0,0,0.333,0.333,0.667,1.0
Justin Verlander,DET,9,3,0,1,0,0,0,0,0,0,0.333,0.333,0.556,0.889
T.J. House,CLE,9,2,1,0,0,0,0,3,0,0,0.222,0.222,0.333,0.556
Scott Carroll,CHI-A,8,2,0,1,0,1,1,0,0,0,0.25,0.333,0.5,0.833
Matt Garza,MIL,8,1,0,0,0,0,0,2,0,0,0.125,0.125,0.125,0.25
Danny Salazar,CLE,8,1,0,0,0,0,0,5,0,0,0.125,0.125,0.125,0.25
Yordano Ventura,KC,8,1,0,0,1,2,0,0,0,0,0.125,0.125,0.5,0.625
Jon Lester,CHI-N,7,2,1,0,0,0,0,2,0,0,0.286,0.286,0.429,0.714
Edinson Volquez,KC,7,2,0,0,0,0,0,3,0,1,0.286,0.286,0.286,0.571
Felix Hernandez,SEA,7,1,0,0,0,0,0,3,0,0,0.143,0.143,0.143,0.286
Ian Krol,DET,6,2,0,0,0,3,0,4,0,0,0.333,0.333,0.333,0.667
Collin McHugh,HOU,6,2,1,0,0,0,0,0,1,0,0.333,0.333,0.5,0.833
Clay Buchholz,BOS,6,1,0,0,0,0,0,2,1,0,0.167,0.167,0.167,0.333
Jesse Chavez,OAK,6,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.333
Kevin Gausman,BAL,6,1,0,0,0,0,0,1,0,0,0.167,0.167,0.167,0.333
Kelvin Herrera,KC,6,1,0,0,0,1,0,2,0,0,0.167,0.167,0.167,0.333
Joakim Soria,DET,6,1,0,0,0,2,0,0,0,0,0.167,0.167,0.167,0.333
Wei-Yin Chen,BAL,6,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Kyle Lobstein,DET,5,3,0,1,0,0,1,1,0,0,0.6,0.667,1.0,1.667
Vidal Nuno,SEA,5,3,2,0,0,0,0,1,0,0,0.6,0.6,1.0,1.6
Scott Kazmir,HOU,5,2,0,1,0,0,0,0,0,0,0.4,0.4,0.8,1.2
C.J. Wilson,ANA,5,2,1,0,0,1,0,0,1,0,0.4,0.4,0.6,1.0
Jesse Hahn,OAK,5,1,0,0,0,1,0,0,1,1,0.2,0.2,0.2,0.4
Al Alburquerque,DET,4,2,0,0,0,2,0,1,0,0,0.5,0.5,0.5,1.0
Andre Rienzo,MIA,4,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Alfredo Simon,DET,4,2,1,1,0,1,0,0,0,0,0.5,0.5,1.25,1.75
Buck Farmer,DET,4,1,0,0,0,1,0,1,0,0,0.25,0.25,0.25,0.5
Javy Guerra,CHI-A,4,1,1,0,0,3,0,1,0,0,0.25,0.2,0.5,0.7
Jake Petricka,CHI-A,4,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
Garrett Richards,ANA,4,1,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75
Marco Estrada,TOR,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jason Frasor,ATL,4,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
