Date,3b,r,sh,po,ab,ibb
"Mar 15, 2014",0,6,2,21,28,0
"Apr 05, 2014",0,6,1,21,23,0
"Mar 22, 2014",0,11,2,21,26,0
"Apr 19, 2014",0,5,0,21,30,0
Totals,5,223,43,1116,1462,0
"Apr 22, 2014",0,0,0,21,28,0
"Apr 06, 2014",0,3,0,21,25,0
"Feb 08, 2014",0,4,1,21,27,0
"Feb 15, 2014",0,7,1,21,30,0
"Mar 30, 2014",0,9,1,21,26,0
"Mar 07, 2014",0,7,1,21,30,0
"Apr 09, 2014",0,2,0,21,27,0
"Mar 07, 2014",0,2,1,21,24,0
"Mar 08, 2014",0,7,2,22,32,0
"May 04, 2014",0,3,0,18,29,0
"Mar 04, 2014",0,6,0,18,29,0
"Mar 11, 2014",0,7,1,21,27,0
"Feb 07, 2014",1,3,0,18,28,0
"Apr 06, 2014",0,2,1,21,23,0
"Feb 21, 2014",1,4,0,24,28,0
