Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,site id
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT001,0.0,0.0,34.5,1965.0,L,1.0,45+M,07/03/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT001,49.5,0.0,0.0,1965.0,L,1.0,45+M,07/03/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT001,0.0,0.0,34.1,1965.0,L,2.0,45+M,07/03/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT001,56.0,0.0,0.0,1965.0,L,2.0,45+M,07/03/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT001,45.0,0.0,0.0,1965.0,L,3.0,45+M,07/03/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,0.0,39.1,1965.0,L,1.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,0.0,39.1,1965.0,L,1.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,440.0,0.0,1965.0,L,1.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,440.0,0.0,1965.0,L,1.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,50.5,0.0,0.0,1965.0,L,1.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,50.5,0.0,0.0,1965.0,L,1.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,0.0,40.9,1965.0,L,2.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,0.0,40.9,1965.0,L,2.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,760.0,0.0,1965.0,L,2.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,0.0,760.0,0.0,1965.0,L,2.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,56.25,0.0,0.0,1965.0,L,2.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11AUT003,56.25,0.0,0.0,1965.0,L,2.0,45+M,07/10/2011,AUTTWWUT
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11EAC005,0.0,0.0,38.8,1965.0,R,1.0,45+M,09/18/2011,FRA3303
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11EAC005,0.0,600.0,0.0,1965.0,R,1.0,45+M,09/18/2011,FRA3303
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11EAC005,53.0,0.0,0.0,1965.0,R,1.0,45+M,09/18/2011,FRA3303
SCHULZE Frank,AUT,M,11EAC005,53.0,600.0,38.8,1965.0,R,1.0,45+M,09/18/2011,FRA3303
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11EAC005,0.0,0.0,38.5,1965.0,R,2.0,45+M,09/18/2011,FRA3303
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11ITA009,51.5,0.0,0.0,1965.0,R,1.0,45+M,08/28/2011,ITA00011
 , , , , , , , , , , , , 
SCHULZE Frank,AUT,M,11ITA009,50.5,0.0,0.0,1965.0,R,2.0,45+M,08/28/2011,ITA00011
