Name,Yr,Pos,G,Rush,Recv.,Punt Ret.,Kick Ret.,Int. Ret.,Plays,Total Yards,Yards/Play,Yards/G
Antonio Andrews,JR,RB,13,1733,432,234,767,0,388,3166,8.2,243.5
Willie McNeal,SO,WR,13,5,556,2,91,0,53,654,12.3,50.3
Jack Doyle,SR,TE,13,0,566,0,0,0,54,566,10.5,43.5
Rico Brown,SO,WR,13,4,194,0,144,0,20,342,17.1,26.3
Leon Allen,FR,RB,11,317,-4,0,0,0,57,313,5.5,28.5
Kadeem Jones,JR,RB,12,84,180,0,-2,0,31,262,8.5,21.8
Austin Aikens,FR,WR,10,0,217,-2,0,0,9,215,23.9,21.5
Mitchell Henry,SO,TE,12,0,195,0,0,0,13,195,15.0,16.3
Jonathan Dowling,SO,DB,12,0,39,0,20,111,9,173,19.2,14.4
Boe Brand,SO,WR,10,0,151,0,0,0,12,151,12.6,15.1
Marcus Vasquez,SR,WR,11,7,102,0,0,0,13,109,8.4,9.9
Keshawn Simpson,JR,RB,7,101,0,0,0,0,20,101,5.1,14.4
Quanterus Smith,SR,DL,10,0,0,0,0,0,1,75,75.0,7.5
Marquis Sumler,FR,RB,9,59,0,0,0,0,16,59,3.7,6.6
Kawaun Jakes,SR,QB,13,58,0,0,0,0,66,58,0.9,4.5
Tyree Robinson,JR,DB,13,0,0,0,55,0,2,55,27.5,4.2
Ben Axon,JR,RB,4,34,0,0,0,0,8,34,4.3,8.5
Cam Thomas,SO,DB,13,0,0,0,0,25,3,29,9.7,2.2
Arius Wright,JR,DB,13,0,0,0,0,0,3,21,7.0,1.6
Tim Gorski,FR,TE,13,0,15,0,0,0,1,15,15.0,1.2
Daqual Randall,FR,LB,11,0,0,0,8,0,1,8,8.0,0.7
Nick Baisch,JR,RB,12,3,5,0,0,0,4,8,2.0,0.7
Ryan Wallace,SR,TE,13,0,8,0,0,0,1,8,8.0,0.6
Xavius Boyd,JR,LB,13,0,0,0,0,8,2,8,4.0,0.6
Andrew Pettijohn,JR,WR,3,0,7,0,0,0,1,7,7.0,2.3
Jamarielle Brown,JR,WR,12,0,4,0,0,0,1,4,4.0,0.3
Kiante Young,JR,DB,13,0,0,0,0,0,1,0,0.0,0.0
Brett Harrington,JR,DB,12,0,0,0,0,-3,2,-3,-1.5,-0.3
James Mauro,FR,QB,3,-10,0,0,0,0,3,-10,-3.3,-3.3
Team, , ,8,-28,0,0,0,0,8,-28,-3.5,-3.5
Total, , ,13,2367,2667,234,1083,141,803,6595,8.2,507.3
Opponents, , ,13,1779,2727,181,1368,137,781,6208,7.9,477.5
