ORtg,TRB%,ORB%,Rk,G,GS,USG%,TS%,Tm
104,5.2,0.0,15,15,0,30.4,.643,NOH
0,5.1,0.0,5,5,0,4.2,.000,NOH
48,21.6,0.0,20,20,0,34.2,.333,NOH
94,14.7,8.4,37,37,0,11.8,.400,ORL
51,0.0,0.0,4,4,0,15.5,.000,NOH
79,5.4,0.0,29,29,0,11.5,.333,NOH
0,0.0,0.0,46,46,0,18.1,.000,ORL
115,10.9,10.0,11,11,0,17.6,.694,NOH
80,8.6,9.4,40,40,0,17.8,.300,ORL
99,0.0,0.0,35,35,0,32.3,.500,NOH
59,16.3,8.8,7,7,0,25.5,.333,NOH
51,16.7,0.0,25,25,0,25.4,.258,NOH
121,10.5,8.3,42,42,0,7.9,.532,ORL
0,0.0,0.0,12,12,0,4.5,.000,NOH
39,25.5,19.7,49,49,0,10.6,.000,ORL
127,0.0,0.0,9,9,0,9.0,.667,NOH
103,43.4,0.0,21,21,0,22.1,.500,NOH
0,0.0,0.0,17,17,0,21.6,.000,NOH
0,7.9,0.0,28,28,0,7.2, ,NOH
219,0.0,0.0,33,33,0,17.0,1.042,NOH
134,9.5,0.0,3,3,0,16.4,.630,NOH
230,14.1,16.2,36,36,0,8.8,1.087,ORL
152,12.0,20.4,13,13,0,18.0,.532,NOH
64,18.5,0.0,50,50,0,20.5,.347,ORL
122,14.0,0.0,41,41,0,9.9,.568,ORL
73,13.5,0.0,14,14,0,8.5,1.000,NOH
200,15.1,0.0,6,6,0,6.9,1.000,NOH
