TOV%,BLK%,G,Date
 ,0.0,55,1997-03-13
0.0,0.0,13,1996-11-27
0.0,11.7,20,1996-12-11
0.0,0.0,30,1997-01-02
0.0,6.2,21,1996-12-13
0.0,4.7,22,1996-12-14
7.0,7.1,37,1997-01-19
0.0,0.0,24,1996-12-20
0.0,6.8,29,1996-12-30
20.5,0.0,1,1996-11-01
100.0,0.0,25,1996-12-22
0.0,28.6,23,1996-12-18
50.0,6.0,47,1997-02-11
33.3,0.0,59,1997-03-20
0.0,0.0,26,1996-12-23
40.0,7.6,8,1996-11-15
0.0,0.0,43,1997-02-01
33.3,8.3,48,1997-02-12
33.3,4.3,33,1997-01-08
33.3,0.0,17,1996-12-06
25.0,0.0,67,1997-04-08
0.0,0.0,28,1996-12-28
50.0,0.0,51,1997-02-21
0.0,8.3,18,1996-12-08
13.7,0.0,12,1996-11-24
100.0,0.0,57,1997-03-17
50.0,13.6,60,1997-03-22
34.7,0.0,56,1997-03-14
22.5,8.5,70,1997-04-20
33.3,0.0,16,1996-12-04
25.0,0.0,2,1996-11-02
0.0,0.0,14,1996-11-30
