BPG,FGM,FG%,PPG,3PM,3P%,MPG,APG
5.5,24.0,0.443,68.7,5.4,0.337,40.1,14.8
6.0,25.8,0.459,71.8,7.1,0.346,40.7,14.1
2.7,23.9,0.427,69.1,7.0,0.334,39.9,11.5
2.8,23.6,0.4,65.2,7.0,0.334,40.8,12.3
4.8,22.5,0.424,61.5,5.1,0.317,40.0,10.8
5.0,26.6,0.435,73.7,6.0,0.3,40.3,14.8
3.7,20.8,0.408,60.3,6.1,0.335,40.0,11.0
2.2,22.3,0.39,66.2,6.2,0.312,40.5,9.5
4.0,21.2,0.4,61.6,6.3,0.322,40.7,10.9
4.4,22.0,0.432,63.7,6.1,0.345,40.0,10.1
2.8,23.8,0.467,68.3,6.4,0.368,40.3,13.1
2.8,23.0,0.418,63.5,6.9,0.341,40.2,12.9
3.8,25.4,0.461,71.0,4.7,0.353,40.3,12.6
3.3,22.8,0.439,64.2,5.9,0.362,40.3,13.9
3.9,22.8,0.444,70.0,8.3,0.378,40.7,12.8
2.8,21.5,0.437,63.5,4.8,0.322,40.0,11.4
2.4,22.2,0.43,63.0,5.7,0.331,40.2,12.2
2.8,23.0,0.414,63.9,4.5,0.32,40.6,11.3
3.1,24.0,0.44,67.5,3.5,0.268,40.3,11.7
4.1,19.2,0.407,58.3,5.7,0.336,40.3,10.7
5.1,25.3,0.457,71.5,7.3,0.383,40.8,14.7
2.5,27.8,0.457,77.1,5.9,0.338,40.0,16.0
3.3,23.6,0.396,65.0,5.5,0.305,40.6,11.0
4.2,19.9,0.408,60.8,5.9,0.357,40.6,11.6
2.3,25.7,0.463,70.5,6.8,0.377,40.2,13.1
2.6,26.0,0.433,71.4,6.6,0.334,40.2,16.0
3.2,22.9,0.408,61.8,5.2,0.302,40.3,11.6
2.1,22.6,0.426,62.9,5.9,0.363,40.0,12.6
3.0,22.5,0.43,67.1,5.9,0.351,40.6,12.9
3.8,27.6,0.464,78.1,6.0,0.361,41.0,15.2
2.6,19.2,0.357,54.8,4.4,0.272,40.4,9.3
1.7,23.9,0.424,69.3,5.3,0.32,40.5,11.5
3.0,24.6,0.462,73.2,7.5,0.369,40.1,13.9
2.4,24.6,0.437,66.9,5.7,0.327,40.8,13.6
3.9,21.9,0.41,61.0,4.4,0.315,40.2,12.1
4.4,26.4,0.455,74.5,7.3,0.348,40.3,14.8
3.2,28.4,0.441,76.7,7.6,0.376,40.1,17.1
5.0,23.2,0.406,66.6,5.2,0.322,40.3,12.2
2.8,20.6,0.404,60.0,5.8,0.337,40.3,10.3
3.3,22.4,0.432,67.0,5.4,0.32,40.4,11.8
5.5,24.3,0.439,68.5,5.4,0.32,41.0,10.2
5.0,20.6,0.401,56.6,4.9,0.331,40.1,10.7
3.1,23.8,0.465,69.9,6.8,0.372,40.8,12.7
3.9,24.5,0.459,68.0,4.9,0.338,40.0,13.2
4.6,25.0,0.44,70.3,8.9,0.356,40.6,14.1
4.4,24.2,0.439,71.5,6.2,0.337,40.3,13.2
1.3,23.5,0.448,67.0,6.4,0.381,40.1,14.6
2.6,24.1,0.45,69.3,6.6,0.347,40.1,12.9
3.9,20.9,0.401,60.6,4.7,0.284,40.3,10.0
2.3,22.7,0.453,64.4,5.9,0.361,40.2,15.1
3.4,20.9,0.389,58.8,6.1,0.312,41.0,11.3
3.1,23.1,0.434,67.9,6.1,0.336,40.5,11.8
4.8,23.8,0.419,70.1,5.4,0.305,40.4,15.1
3.5,24.6,0.442,69.4,6.8,0.34,40.2,12.1
3.3,24.2,0.398,64.2,3.8,0.261,40.1,10.9
4.2,23.1,0.434,67.5,5.4,0.345,40.0,11.4
4.2,26.5,0.434,71.4,4.8,0.299,40.5,13.8
3.3,23.6,0.429,68.9,5.9,0.335,40.4,12.9
5.7,24.2,0.415,69.2,8.5,0.341,40.6,13.4
2.7,21.2,0.401,62.8,6.5,0.338,40.4,12.2
4.7,23.6,0.409,64.9,4.6,0.273,40.2,12.5
2.5,21.2,0.37,63.0,6.0,0.303,40.2,9.7
4.4,23.6,0.431,66.9,4.2,0.299,40.4,12.1
2.8,23.3,0.457,65.2,4.5,0.351,40.3,11.2
4.2,24.6,0.468,67.1,6.9,0.358,40.3,12.5
3.1,22.7,0.406,68.6,6.4,0.311,41.1,10.5
4.5,27.1,0.46,76.0,6.9,0.353,40.3,15.9
1.3,21.7,0.401,64.0,7.4,0.334,40.2,10.1
4.4,23.4,0.457,64.2,6.1,0.385,40.1,14.0
1.9,23.7,0.418,68.0,6.6,0.337,40.7,12.7
3.7,22.1,0.449,63.8,5.5,0.351,40.6,13.4
4.6,25.9,0.447,72.0,5.8,0.364,40.2,14.3
3.8,25.1,0.436,71.3,6.5,0.359,41.0,11.5
3.3,25.0,0.452,72.8,7.8,0.347,40.6,12.8
4.1,22.9,0.425,66.0,6.4,0.346,40.5,12.8
4.6,25.5,0.442,74.4,8.0,0.361,40.3,14.7
3.0,28.1,0.454,80.4,8.3,0.367,41.0,15.4
2.9,22.2,0.417,59.0,4.7,0.289,40.2,12.3
6.7,26.6,0.481,75.2,5.8,0.364,40.7,15.5
4.3,22.9,0.441,65.6,6.0,0.347,40.0,11.2
2.6,25.4,0.475,71.8,5.9,0.384,40.3,14.0
4.2,28.1,0.496,77.4,5.3,0.391,40.1,14.6
3.6,23.6,0.424,65.8,6.7,0.342,40.0,11.7
2.3,24.7,0.443,65.5,6.9,0.357,40.6,13.1
6.4,27.1,0.471,74.5,6.1,0.372,40.3,16.8
2.7,24.3,0.437,68.1,5.3,0.345,40.4,12.4
4.1,23.8,0.439,68.2,7.1,0.358,40.5,11.7
4.4,22.7,0.419,64.6,8.0,0.346,40.5,14.7
1.1,26.2,0.48,74.0,7.0,0.356,39.9,15.2
3.8,24.1,0.468,64.8,4.2,0.324,40.0,15.5
2.2,25.4,0.467,73.9,8.8,0.355,40.3,14.9
4.4,23.5,0.42,65.0,7.4,0.33,40.6,13.3
2.4,22.4,0.427,64.4,7.2,0.347,40.3,12.2
2.9,23.3,0.429,69.1,7.0,0.375,40.4,12.3
2.2,26.0,0.469,73.4,7.7,0.391,40.6,14.5
5.3,25.1,0.431,71.4,7.2,0.347,40.9,14.8
3.2,23.5,0.433,67.6,5.4,0.344,40.6,9.9
3.2,23.6,0.411,67.6,5.5,0.31,40.5,14.3
2.4,21.9,0.426,65.2,5.9,0.327,40.0,11.8
4.4,22.4,0.428,63.0,5.5,0.335,40.4,10.6
3.6,23.4,0.397,66.8,6.1,0.314,40.6,11.9
3.9,23.8,0.412,68.5,7.8,0.321,40.1,10.1
4.0,24.5,0.416,70.5,7.0,0.359,40.1,12.1
3.4,21.5,0.416,67.9,6.0,0.331,40.7,12.1
1.3,22.3,0.427,60.0,6.0,0.348,40.4,13.6
4.5,23.5,0.423,69.0,4.4,0.309,40.6,9.7
2.8,28.0,0.484,75.2,7.6,0.385,40.3,14.5
7.3,25.0,0.415,64.8,3.6,0.271,40.5,12.3
3.2,22.2,0.429,65.4,5.6,0.321,40.6,11.8
2.9,26.4,0.436,75.3,5.3,0.336,40.0,15.3
3.9,23.0,0.435,65.1,6.0,0.349,40.3,11.5
2.6,22.2,0.425,62.8,5.5,0.342,40.2,13.5
2.7,25.4,0.422,73.8,7.3,0.327,40.6,12.8
3.0,24.5,0.419,65.5,6.0,0.325,40.5,14.0
3.6,20.6,0.408,60.3,7.8,0.35,40.3,11.7
3.5,22.5,0.413,59.6,4.9,0.336,40.3,11.3
4.0,28.5,0.435,76.5,7.1,0.352,41.0,14.1
3.7,23.8,0.437,66.2,7.8,0.344,40.0,13.8
1.9,22.5,0.416,69.6,6.4,0.349,40.0,11.5
3.7,21.8,0.409,62.4,7.3,0.345,40.9,12.5
2.7,25.6,0.422,73.8,9.3,0.36,40.3,12.3
3.1,24.8,0.457,69.1,8.1,0.384,40.1,14.3
