T,D,F,G,L
35,Albany Ward,-36.722475,99, 
y_2013,Ward,Latitude,Decile,y_2005
327,Franklin Ward,-37.016728,9,333
34,Manukau Ward,-36.953223,99,31
361,Franklin Ward,-36.990305,10,386
542,Manurewa-Papakura Ward,-37.017939,1,413
244,Rodney Ward,-36.667771,10,272
116,Franklin Ward,-37.113261,5,112
352,North Shore Ward,-36.828336,10,284
280,Manukau Ward,-36.962731,1,282
350,Franklin Ward,-37.033892,6,308
594,Albert-Eden-Roskill Ward,-36.880303,4,495
123,Franklin Ward,-36.987433,8,85
54,Albert-Eden-Roskill Ward,-36.907621,3,66
270,Waitemata and Gulf Ward,-36.852329,10,466
804,Albert-Eden-Roskill Ward,-36.884573,9,700
787,Howick Ward,-36.922507,4,1038
24,Albert-Eden-Roskill Ward,-36.88228,1,19
586,Whau Ward,-36.924902,8,606
27,Manurewa-Papakura Ward,-37.034958,1,20
611,Manurewa-Papakura Ward,-37.054111,2,555
1123,Albany Ward,-36.749098,10,220
566,Howick Ward,-36.980376,2,661
704,Howick Ward,-36.955855,8,113
386,Waitemata and Gulf Ward,-36.847738,10,332
825,Whau Ward,-36.918925,6,611
444,Howick Ward,-36.865755,10,291
132,North Shore Ward,-36.790698,3,220
124,Franklin Ward,-37.140652,10,133
1486,Manukau Ward,-36.981416,2,1309
663,Albert-Eden-Roskill Ward,-36.892542,10,640
571,Albert-Eden-Roskill Ward,-36.887372,5,550
115,Albany Ward,-36.721824,99,22
1374,Waitemata and Gulf Ward,-36.85702,5,1393
41,Manurewa-Papakura Ward,-37.014798,3,45
1049,North Shore Ward,-36.779176,10,944
535,Franklin Ward,-36.884661,10,396
31,Maungakiekie-Tamaki Ward,-36.901088,6,39
533,Waitemata and Gulf Ward,-36.854547,7,447
512,Manukau Ward,-36.97636,2,334
729,Albert-Eden-Roskill Ward,-36.885383,9,644
149,Albert-Eden-Roskill Ward,-36.904106,3,158
452,Orakei Ward,-36.851496,10,481
