Player,AB,R,2B
M Mayorson,373,47,31
C Errecart,360,57,22
R Serrano,16,2,0
K Feiner,2,0,0
M Bell,444,53,28
C Nicolas,296,38,23
G Johnson,37,5,2
J Price,112,11,0
G Creek,351,49,20
P Britton,4,0,0
B Lalli,70,9,5
S Garrett,87,16,8
O Chavez,20,4,0
J Persichina,21,2,2
P Cottrell,206,29,6
G Sanchez,478,70,42
D Hernandez,77,8,3
R Mitchell,485,65,22
G Psomas,111,13,5
B Hayes,181,19,8
J Muyco,21,1,0
B Davis,249,30,15
M Reed,63,9,3
S Perez,48,2,1
E Rodriguez,25,4,1
B Byrne,416,64,27
G Reyes,279,42,8
B Allen,153,30,6
E San Pedro,81,7,4
E Hollis,94,13,1
C Lundahl,1,0,0
C Denove,163,11,12
J Dominguez,351,35,15
K Ka'aihue,376,63,23
B Broussard,9,3,0
J Yepez,29,2,4
J Fox,388,76,29
D Arnold,53,4,1
A Concepcion,166,25,10
C Valaika,379,58,19
I De Jesus,463,91,21
A Ricks,0,0,0
