Date,GmSc,BLK%,ORB%,Age,G
1992-12-27,0.9,0.0,0.0,26-120,24
1992-11-11,4.6,0.0,3.8,26-074,3
1993-01-26,-1.9,0.0,0.0,26-150,36
1992-11-18,7.4,0.0,0.0,26-081,5
1993-02-16,-0.6,0.0,0.0,26-171,46
1993-01-16,1.0,0.0,0.0,26-140,32
1992-11-06,6.9,0.0,6.0,26-069,1
1992-12-26,1.7,0.0,0.0,26-119,23
1993-01-12,1.3,0.0,0.0,26-136,29
1992-11-24,8.5,0.0,3.7,26-087,8
1992-11-25,15.0,0.0,8.1,26-088,9
1993-01-20,1.7,0.0,0.0,26-144,33
1993-02-08,0.6,0.0,12.5,26-163,42
1993-01-22,0.0,0.0,0.0,26-146,34
1993-02-12,-0.5,0.0,0.0,26-167,44
1993-03-12,1.3,0.0,0.0,26-195,56
1993-04-12,-0.5,0.0,0.0,26-226,66
1993-04-23,-1.1,0.0,23.1,26-237,71
1993-01-15,-0.8,0.0,0.0,26-139,31
1993-04-04,-1.7,0.0,0.0,26-218,63
1992-12-18,0.0,0.0,0.0,26-111,20
