Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Victor Acosta,DSL,63,234,26,60,11,1,8,39,9,3,25,23,0.256,0.333,0.415,0.748
Franklin Guzman,DSL,64,240,34,61,8,5,2,31,12,5,22,44,0.254,0.323,0.354,0.678
Darwin Pena,DSL,59,225,22,53,5,4,2,28,2,1,21,42,0.236,0.302,0.32,0.622
Javier Guerra,DSL,60,210,27,52,9,0,0,23,7,4,33,39,0.248,0.356,0.29,0.647
Luis Alexander Basabe,DSL,60,209,49,47,13,2,1,19,18,5,49,58,0.225,0.385,0.321,0.705
Raiwinson Lameda,DSL,56,200,27,44,10,3,0,19,8,5,15,35,0.22,0.282,0.3,0.582
Jhon Nunez,DSL,60,200,32,48,6,3,0,16,16,8,26,23,0.24,0.333,0.3,0.633
Luis Alejandro Basabe,DSL,58,156,25,30,5,4,1,14,9,2,33,48,0.192,0.332,0.295,0.627
Ricardo Andujar,DSL,40,114,14,23,5,0,0,14,6,4,19,21,0.202,0.324,0.246,0.569
Isaias Lucena,DSL,30,88,12,19,4,1,0,13,3,1,18,16,0.216,0.358,0.284,0.642
Pablo Urena,DSL,29,82,11,20,5,0,1,8,2,1,4,19,0.244,0.323,0.341,0.664
Juan Hernandez,DSL,32,97,8,24,1,0,0,4,8,2,9,11,0.247,0.318,0.258,0.575
Oscar Bartomolde,DSL,25,60,12,7,1,1,0,4,3,2,9,18,0.117,0.232,0.167,0.399
Luis Benoit,DSL,15,37,0,8,2,0,0,2,0,2,2,12,0.216,0.275,0.27,0.545
Anthony Amaya,DSL,9,26,2,5,1,0,0,2,3,0,3,6,0.192,0.3,0.231,0.531
Gerardo Carrizalez,DSL,14,41,7,4,0,0,0,1,1,0,5,9,0.098,0.213,0.098,0.31
Luis Yovera,DSL,15,39,1,4,1,0,0,0,1,2,4,12,0.103,0.205,0.128,0.333
Rafael Oliveras,DSL,3,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
